old_name	new_name
MIGS bacteria	MigsBa
MIGS eukaryote	MigsEu
MIGS org	MigsOrg
MIGS plant	MigsPl
MIGS virus	MigsVi
MIMAG	Mimag
MIMARKS specimen	MimarksC
MIMARKS survey	MimarksS
MIMS	Mims
MISAG	Misag
MIUVIG	Miuvig
agriculture	Agriculture
agriculture MIGS bacteria	MigsBaAgriculture
agriculture MIGS eukaryote	MigsEuAgriculture
agriculture MIGS org	MigsOrgAgriculture
agriculture MIGS plant	MigsPlAgriculture
agriculture MIGS virus	MigsViAgriculture
agriculture MIMAG	MimagAgriculture
agriculture MIMARKS specimen	MimarksCAgriculture
agriculture MIMARKS survey	MimarksSAgriculture
agriculture MIMS	MimsAgriculture
agriculture MISAG	MisagAgriculture
agriculture MIUVIG	MiuvigAgriculture
air	Air
air MIGS bacteria	MigsBaAir
air MIGS eukaryote	MigsEuAir
air MIGS org	MigsOrgAir
air MIGS plant	MigsPlAir
air MIGS virus	MigsViAir
air MIMAG	MimagAir
air MIMARKS specimen	MimarksCAir
air MIMARKS survey	MimarksSAir
air MIMS	MimsAir
air MISAG	MisagAir
air MIUVIG	MiuvigAir
built environment	BuiltEnvironment
built environment MIGS bacteria	MigsBaBuiltEnvironment
built environment MIGS eukaryote	MigsEuBuiltEnvironment
built environment MIGS org	MigsOrgBuiltEnvironment
built environment MIGS plant	MigsPlBuiltEnvironment
built environment MIGS virus	MigsViBuiltEnvironment
built environment MIMAG	MimagBuiltEnvironment
built environment MIMARKS specimen	MimarksCBuiltEnvironment
built environment MIMARKS survey	MimarksSBuiltEnvironment
built environment MIMS	MimsBuiltEnvironment
built environment MISAG	MisagBuiltEnvironment
built environment MIUVIG	MiuvigBuiltEnvironment
food-animal and animal feed	FoodAnimalAndAnimalFeed
food-animal and animal feed MIGS bacteria	MigsBaFoodAnimalAndAnimalFeed
food-animal and animal feed MIGS eukaryote	MigsEuFoodAnimalAndAnimalFeed
food-animal and animal feed MIGS org	MigsOrgFoodAnimalAndAnimalFeed
food-animal and animal feed MIGS plant	MigsPlFoodAnimalAndAnimalFeed
food-animal and animal feed MIGS virus	MigsViFoodAnimalAndAnimalFeed
food-animal and animal feed MIMAG	MimagFoodAnimalAndAnimalFeed
food-animal and animal feed MIMARKS specimen	MimarksCFoodAnimalAndAnimalFeed
food-animal and animal feed MIMARKS survey	MimarksSFoodAnimalAndAnimalFeed
food-animal and animal feed MIMS	MimsFoodAnimalAndAnimalFeed
food-animal and animal feed MISAG	MisagFoodAnimalAndAnimalFeed
food-animal and animal feed MIUVIG	MiuvigFoodAnimalAndAnimalFeed
food-farm environment	FoodFarmEnvironment
food-farm environment MIGS bacteria	MigsBaFoodFarmEnvironment
food-farm environment MIGS eukaryote	MigsEuFoodFarmEnvironment
food-farm environment MIGS org	MigsOrgFoodFarmEnvironment
food-farm environment MIGS plant	MigsPlFoodFarmEnvironment
food-farm environment MIGS virus	MigsViFoodFarmEnvironment
food-farm environment MIMAG	MimagFoodFarmEnvironment
food-farm environment MIMARKS specimen	MimarksCFoodFarmEnvironment
food-farm environment MIMARKS survey	MimarksSFoodFarmEnvironment
