old_name	new_name
animal_body_cond_enum	AnimalBodyCondEnum
animal_sex_enum	AnimalSexEnum
arch_struc_enum	ArchStrucEnum
assembly_qual_enum	AssemblyQualEnum
bin_param_enum	BinParamEnum
biol_stat_enum	BiolStatEnum
biotic_relationship_enum	BioticRelationshipEnum
build_docs_enum	BuildDocsEnum
building_setting_enum	BuildingSettingEnum
build_occup_type_enum	BuildOccupTypeEnum
ceil_finish_mat_enum	CeilFinishMatEnum
ceil_texture_enum	CeilingWallTextureEnum
wall_texture_enum	CeilingWallTextureEnum
ceil_type_enum	CeilTypeEnum
ext_wall_orient_enum	CompassDirections8Enum
ext_window_orient_enum	CompassDirections8Enum
compl_appr_enum	ComplApprEnum
contam_screen_param_enum	ContamScreenInputEnum
cult_result_enum	CultResultEnum
ceil_cond_enum	DamagedEnum
floor_cond_enum	DamagedEnum
int_wall_cond_enum	DamagedEnum
door_cond_enum	DamagedRupturedEnum
shading_device_cond_enum	DamagedRupturedEnum
window_cond_enum	DamagedRupturedEnum
depos_env_enum	DeposEnvEnum
dominant_hand_enum	DominantHandEnum
door_comp_type_enum	DoorCompTypeEnum
door_direct_enum	DoorDirectEnum
door_mat_enum	DoorMatEnum
door_move_enum	DoorMoveEnum
door_type_enum	DoorTypeEnum
door_type_metal_enum	DoorTypeMetalEnum
drainage_class_enum	DrainageClassEnum
drawings_enum	DrawingsEnum
extr_weather_event_enum	ExtrWeatherEventEnum
facility_type_enum	FacilityTypeEnum
fao_class_enum	FaoClassEnum
farm_water_source_enum	FarmWaterSourceEnum
filter_type_enum	FilterTypeEnum
floor_struc_enum	FloorStrucEnum
floor_water_mold_enum	FloorWaterMoldEnum
food_clean_proc_enum	FoodCleanProcEnum
food_trace_list_enum	FoodTraceListEnum
freq_clean_enum	FreqCleanEnum
furniture_enum	FurnitureEnum
gender_restroom_enum	GenderRestroomEnum
hcr_geol_age_enum	GeolAgeEnum
sr_geol_age_enum	GeolAgeEnum
growth_habit_enum	GrowthHabitEnum
handidness_enum	HandidnessEnum
hc_produced_enum	HcProducedEnum
hcr_enum	HcrEnum
heat_cool_type_enum	HeatCoolTypeEnum
heat_deliv_loc_enum	HeatSysDelivMethEnum
host_cellular_loc_enum	HostCellularLocEnum
host_pred_appr_enum	HostPredApprEnum
host_specificity_enum	HostSpecificityEnum
indoor_space_enum	IndoorSpaceEnum
indoor_surf_enum	IndoorSurfEnum
lib_layout_enum	LibLayoutEnum
light_type_enum	LightTypeEnum
lithology_enum	LithologyEnum
mag_cov_software_enum	MagCovSoftwareEnum
mech_struc_enum	MechStrucEnum
mode_transmission_enum	ModeTransmissionEnum
neg_cont_type_enum	NegContTypeEnum
occup_document_enum	OccupDocumentEnum
oxy_stat_samp_enum	OxyStatSampEnum
plant_reprod_crop_enum	PlantReprodCropEnum
plant_sex_enum	PlantSexEnum
pred_genome_struc_enum	PredGenomeStrucEnum
profile_position_enum	ProfilePositionEnum
quad_pos_enum	QuadPosEnum
rel_samp_loc_enum	RelSampLocEnum
rel_to_oxygen_enum	RelToOxygenEnum
room_condt_enum	RoomCondtEnum
room_connected_enum	RoomConnectedEnum
room_loc_enum	RoomLocEnum
room_samp_pos_enum	RoomSampPosEnum
route_transmission_enum	RouteTransmissionEnum
samp_capt_status_enum	SampCaptStatusEnum
samp_collect_point_enum	SampCollectPointEnum
samp_dis_stage_enum	SampDisStageEnum
samp_loc_condition_enum	SampLocConditionEnum
samp_subtype_enum	SampSubtypeEnum
samp_surf_moisture_enum	SampSurfMoistureEnum
samp_transport_cont_enum	SampTransportContEnum
samp_weather_enum	SampWeatherEnum
single_cell_lysis_appr_enum	ScLysisApproachEnum
season_use_enum	SeasonUseEnum
sediment_type_enum	SedimentTypeEnum
shading_device_type_enum	ShadingDeviceTypeEnum
horizon_enum	SoilHorizonEnum
soil_horizon_enum	SoilHorizonEnum
soil_texture_class_enum	SoilTextureClassEnum
sort_tech_enum	SortTechEnum
specific_enum	SpecificEnum
sr_dep_env_enum	SrDepEnvEnum
sr_kerog_type_enum	SrKerogTypeEnum
sr_lithology_enum	SrLithologyEnum
substructure_type_enum	SubstructureTypeEnum
surf_air_cont_enum	SurfAirContEnum
surf_material_enum	SurfMaterialEnum
symbiont_host_role_enum	SymbiontHostRoleEnum
tax_ident_enum	TaxIdentEnum
tidal_stage_enum	TidalStageEnum
tillage_enum	TillageEnum
train_line_enum	TrainLineEnum
train_stat_loc_enum	TrainStatLocEnum
train_stop_loc_enum	TrainStopLocEnum
trophic_level_enum	TrophicLevelEnum
type_of_symbiosis_enum	TypeOfSymbiosisEnum
pred_genome_type_enum	ViralGenomeTypeEnum
virus_enrich_appr_enum	VirusEnrichApprEnum
wall_const_type_enum	WallConstTypeEnum
wall_finish_mat_enum	WallFinishMatEnum
wall_surf_treatment_enum	WallSurfTreatmentEnum
water_feat_type_enum	WaterFeatTypeEnum
weekday_enum	WeekdayEnum
window_cover_enum	WindowCoverEnum
window_horiz_pos_enum	WindowHorizPosEnum
window_mat_enum	WindowMatEnum
window_type_enum	WindowTypeEnum
window_vert_pos_enum	WindowVertPosEnum
