old_name	new_name
air particulate matter concentration	air_PM_concen
assembly_quality	assembly_qual
associated resource	associated_resource
Food_Product_type	food_product_type
Food_source	food_source
host_family_relation	host_fam_rel
host_family_relationship	host_fam_rel
host_infra_specific_name	host_infra_spec_name
host_infra_specific_rank	host_infra_spec_rank
microbial_biomass_meth	micro_biomass_meth
non_mineral_nutr_regm	non_min_nutr_regm
previous_land_use_meth	prev_land_use_meth
samp_collec_device	samp_collect_device
samp_collec_method	samp_collect_method
sample_collec_method	samp_collect_method
sample_name	samp_name
samp_stor_dur	samp_store_dur
samp_stor_loc	samp_store_loc
samp_stor_temp	samp_store_temp
single_cell_lysis_appr	sc_lysis_approach
single_cell_lysis_prot	sc_lysis_method
horizon	soil_horizon
texture	soil_texture
tot_car	tot_carb
x_16s_recover	x16s_recover
x_16s_recover_software	x16s_recover_software
soil_text_measure	
texture_meth	
tot_n_meth	
tot_phos	
url	
