class_name	slot_name
BuiltEnvironment	surf_material
BuiltEnvironment	indoor_surf
MigsBaAgriculture	nucl_acid_amp
MigsBaAgriculture	assembly_name
MigsBaAgriculture	temp
MigsBaAgriculture	nucl_acid_ext
MigsBaAgriculture	pathogenicity
MigsBaAgriculture	adapters
MigsBaAgriculture	specific_host
MigsBaAir	alt
MigsBaBuiltEnvironment	surf_material
MigsBaBuiltEnvironment	indoor_surf
MigsBaFoodFarmEnvironment	depth
MigsBaHydrocarbonResourcesCores	temp
MigsBaHydrocarbonResourcesFluidsSwabs	temp
MigsBaSediment	depth
MigsBaSoil	depth
MigsBaSoil	elev
MigsBaWater	depth
MigsEuAgriculture	nucl_acid_amp
MigsEuAgriculture	assembly_name
MigsEuAgriculture	temp
MigsEuAgriculture	nucl_acid_ext
MigsEuAgriculture	pathogenicity
MigsEuAgriculture	adapters
MigsEuAir	alt
MigsEuBuiltEnvironment	surf_material
MigsEuBuiltEnvironment	indoor_surf
MigsEuFoodFarmEnvironment	depth
MigsEuHydrocarbonResourcesCores	temp
MigsEuHydrocarbonResourcesFluidsSwabs	temp
MigsEuSediment	depth
MigsEuSoil	depth
MigsEuSoil	elev
MigsEuWater	depth
MigsOrgAgriculture	nucl_acid_amp
MigsOrgAgriculture	assembly_name
MigsOrgAgriculture	temp
MigsOrgAgriculture	nucl_acid_ext
MigsOrgAgriculture	adapters
MigsOrgAir	alt
MigsOrgBuiltEnvironment	surf_material
MigsOrgBuiltEnvironment	indoor_surf
MigsOrgFoodFarmEnvironment	depth
MigsOrgHydrocarbonResourcesCores	temp
MigsOrgHydrocarbonResourcesFluidsSwabs	temp
MigsOrgSediment	depth
MigsOrgSoil	depth
MigsOrgSoil	elev
MigsOrgWater	depth
MigsPlAgriculture	nucl_acid_amp
MigsPlAgriculture	assembly_name
MigsPlAgriculture	temp
MigsPlAgriculture	nucl_acid_ext
MigsPlAgriculture	adapters
MigsPlAgriculture	specific_host
MigsPlAir	alt
MigsPlBuiltEnvironment	surf_material
MigsPlBuiltEnvironment	indoor_surf
MigsPlFoodFarmEnvironment	depth
MigsPlHydrocarbonResourcesCores	temp
MigsPlHydrocarbonResourcesFluidsSwabs	temp
MigsPlSediment	depth
MigsPlSoil	depth
MigsPlSoil	elev
MigsPlWater	depth
MigsViAgriculture	nucl_acid_amp
MigsViAgriculture	assembly_name
MigsViAgriculture	temp
MigsViAgriculture	nucl_acid_ext
MigsViAgriculture	pathogenicity
MigsViAgriculture	host_spec_range
MigsViAgriculture	adapters
MigsViAgriculture	specific_host
MigsViAir	alt
MigsViBuiltEnvironment	surf_material
MigsViBuiltEnvironment	indoor_surf
MigsViFoodFarmEnvironment	depth
MigsViHydrocarbonResourcesCores	temp
MigsViHydrocarbonResourcesFluidsSwabs	temp
MigsViSediment	depth
MigsViSoil	depth
MigsViSoil	elev
MigsViWater	depth
MimagAgriculture	lib_screen
MimagAgriculture	nucl_acid_amp
MimagAgriculture	mid
MimagAgriculture	assembly_name
MimagAgriculture	temp
MimagAgriculture	nucl_acid_ext
MimagAgriculture	samp_size
MimagAgriculture	lib_reads_seqd
MimagAgriculture	samp_collect_device
MimagAgriculture	lib_vector
MimagAgriculture	adapters
MimagAgriculture	samp_mat_process
MimagAir	alt
MimagBuiltEnvironment	surf_material
MimagBuiltEnvironment	indoor_surf
MimagFoodFarmEnvironment	depth
MimagHydrocarbonResourcesCores	temp
MimagHydrocarbonResourcesFluidsSwabs	temp
MimagSediment	depth
MimagSoil	depth
MimagSoil	elev
MimagWater	depth
MimarksCAgriculture	pcr_primers
MimarksCAgriculture	nucl_acid_amp
MimarksCAgriculture	target_subfragment
MimarksCAgriculture	temp
MimarksCAgriculture	pcr_cond
MimarksCAgriculture	nucl_acid_ext
MimarksCAgriculture	chimera_check
