class	Structured comment name	Occurrence	Frequency
plant-associated	biotic_regm	1	0.5
food-farm environment	biotic_regm	m	0.5
agriculture	plant_growth_med	1	0.6666666666666666
plant-associated	plant_growth_med	1	0.6666666666666666
food-farm environment	plant_growth_med	m	0.3333333333333333
agriculture	pool_dna_extracts	1	0.4
soil	pool_dna_extracts	1	0.4
food-animal and animal feed	pool_dna_extracts	m	0.6
food-food production facility	pool_dna_extracts	m	0.6
food-human foods	pool_dna_extracts	m	0.6
agriculture	season_precpt	1	0.6666666666666666
soil	season_precpt	1	0.6666666666666666
food-farm environment	season_precpt	m	0.3333333333333333
agriculture	soil_temp	1	0.5
food-farm environment	soil_temp	m	0.5
agriculture	soil_type	1	0.6666666666666666
soil	soil_type	1	0.6666666666666666
food-farm environment	soil_type	m	0.3333333333333333
food-farm environment	tillage	1	0.3333333333333333
agriculture	tillage	m	0.6666666666666666
soil	tillage	m	0.6666666666666666
air	ventilation_type	1	0.6666666666666666
built environment	ventilation_type	1	0.6666666666666666
food-farm environment	ventilation_type	m	0.3333333333333333
