class	Structured comment name	Occurrence	Frequency
migs_ba	assembly_software	1	0.9166666666666666
migs_eu	assembly_software	1	0.9166666666666666
migs_org	assembly_software	1	0.9166666666666666
migs_pl	assembly_software	1	0.9166666666666666
migs_vi	assembly_software	1	0.9166666666666666
mimag	assembly_software	1	0.9166666666666666
mimarks_c	assembly_software	1	0.9166666666666666
mimarks_s	assembly_software	1	0.9166666666666666
mims	assembly_software	1	0.9166666666666666
misag	assembly_software	1	0.9166666666666666
miuvig	assembly_software	1	0.9166666666666666
agriculture	assembly_software		0.08333333333333333
plant-associated	biotic_regm	1	0.5
food-farm environment	biotic_regm	m	0.5
food-animal and animal feed	cult_isol_date	1	0.8
food-farm environment	cult_isol_date	1	0.8
food-food production facility	cult_isol_date	1	0.8
food-human foods	cult_isol_date	1	0.8
agriculture	cult_isol_date		0.2
air	elev	1	0.9090909090909091
host-associated	elev	1	0.9090909090909091
hydrocarbon resources-cores	elev	1	0.9090909090909091
microbial mat/biofilm	elev	1	0.9090909090909091
migs_ba	elev	1	0.9090909090909091
migs_eu	elev	1	0.9090909090909091
migs_org	elev	1	0.9090909090909091
migs_pl	elev	1	0.9090909090909091
migs_vi	elev	1	0.9090909090909091
mimag	elev	1	0.9090909090909091
mimarks_c	elev	1	0.9090909090909091
mimarks_s	elev	1	0.9090909090909091
mims	elev	1	0.9090909090909091
misag	elev	1	0.9090909090909091
miscellaneous natural or artificial environment	elev	1	0.9090909090909091
miuvig	elev	1	0.9090909090909091
plant-associated	elev	1	0.9090909090909091
sediment	elev	1	0.9090909090909091
soil	elev	1	0.9090909090909091
water	elev	1	0.9090909090909091
agriculture	elev		0.09090909090909091
symbiont-associated	elev		0.09090909090909091
migs_ba	experimental_factor	1	0.7857142857142857
migs_eu	experimental_factor	1	0.7857142857142857
migs_org	experimental_factor	1	0.7857142857142857
migs_pl	experimental_factor	1	0.7857142857142857
migs_vi	experimental_factor	1	0.7857142857142857
mimag	experimental_factor	1	0.7857142857142857
mimarks_c	experimental_factor	1	0.7857142857142857
mimarks_s	experimental_factor	1	0.7857142857142857
mims	experimental_factor	1	0.7857142857142857
misag	experimental_factor	1	0.7857142857142857
miuvig	experimental_factor	1	0.7857142857142857
food-animal and animal feed	experimental_factor	m	0.21428571428571427
food-food production facility	experimental_factor	m	0.21428571428571427
food-human foods	experimental_factor	m	0.21428571428571427
food-farm environment	farm_equip	m	0.5
agriculture	farm_equip		0.5
food-farm environment	farm_equip_san	m	0.5
agriculture	farm_equip_san		0.5
food-farm environment	farm_equip_shared	m	0.5
agriculture	farm_equip_shared		0.5
food-food production facility	food_dis_point_city	m	0.5
food-animal and animal feed	food_dis_point_city		0.5
food-farm environment	food_harvest_proc	m	0.5
agriculture	food_harvest_proc		0.5
agriculture	genetic_mod	1	0.8333333333333334
food-food production facility	genetic_mod	1	0.8333333333333334
food-human foods	genetic_mod	1	0.8333333333333334
host-associated	genetic_mod	1	0.8333333333333334
plant-associated	genetic_mod	1	0.8333333333333334
food-farm environment	genetic_mod	m	0.16666666666666666
food-farm environment	host_disease_stat	1	0.05
agriculture	host_disease_stat	m	0.95
host-associated	host_disease_stat	m	0.95
human-associated	host_disease_stat	m	0.95
human-gut	host_disease_stat	m	0.95
human-oral	host_disease_stat	m	0.95
human-skin	host_disease_stat	m	0.95
human-vaginal	host_disease_stat	m	0.95
migs_ba	host_disease_stat	m	0.95
migs_eu	host_disease_stat	m	0.95
migs_org	host_disease_stat	m	0.95
migs_pl	host_disease_stat	m	0.95
migs_vi	host_disease_stat	m	0.95
mimag	host_disease_stat	m	0.95
mimarks_c	host_disease_stat	m	0.95
mimarks_s	host_disease_stat	m	0.95
mims	host_disease_stat	m	0.95
misag	host_disease_stat	m	0.95
miuvig	host_disease_stat	m	0.95
plant-associated	host_disease_stat	m	0.95
symbiont-associated	host_fam_rel	1	0.14285714285714285
host-associated	host_fam_rel	m	0.8571428571428571
human-associated	host_fam_rel	m	0.8571428571428571
human-gut	host_fam_rel	m	0.8571428571428571
human-oral	host_fam_rel	m	0.8571428571428571
human-skin	host_fam_rel	m	0.8571428571428571
human-vaginal	host_fam_rel	m	0.8571428571428571
agriculture	host_genotype	1	0.9
food-farm environment	host_genotype	1	0.9
host-associated	host_genotype	1	0.9
human-associated	host_genotype	1	0.9
human-gut	host_genotype	1	0.9
human-oral	host_genotype	1	0.9
human-skin	host_genotype	1	0.9
human-vaginal	host_genotype	1	0.9
plant-associated	host_genotype	1	0.9
symbiont-associated	host_genotype		0.1
agriculture	host_phenotype	1	0.9
food-farm environment	host_phenotype	1	0.9
host-associated	host_phenotype	1	0.9
human-associated	host_phenotype	1	0.9
human-gut	host_phenotype	1	0.9
human-oral	host_phenotype	1	0.9
human-skin	host_phenotype	1	0.9
human-vaginal	host_phenotype	1	0.9
plant-associated	host_phenotype	1	0.9
symbiont-associated	host_phenotype		0.1
agriculture	host_symbiont	1	0.1111111111111111
host-associated	host_symbiont	m	0.7777777777777778
human-associated	host_symbiont	m	0.7777777777777778
human-gut	host_symbiont	m	0.7777777777777778
human-oral	host_symbiont	m	0.7777777777777778
human-skin	host_symbiont	m	0.7777777777777778
human-vaginal	host_symbiont	m	0.7777777777777778
plant-associated	host_symbiont	m	0.7777777777777778
symbiont-associated	host_symbiont		0.1111111111111111
food-animal and animal feed	lot_number	m	0.8
food-farm environment	lot_number	m	0.8
food-food production facility	lot_number	m	0.8
food-human foods	lot_number	m	0.8
