class	Structured comment name	Preferred unit	Frequency
air	air_PM_concen	microgram per cubic meter	0.5
food-farm environment	air_PM_concen	micrograms per cubic meter	0.5
microbial mat/biofilm	alkyl_diethers	mole per liter	0.6666666666666666
sediment	alkyl_diethers	mole per liter	0.6666666666666666
water	alkyl_diethers	mole per liter, microgram per gram sample	0.3333333333333333
air	alt	meter	0.26666666666666666
host-associated	alt	meter	0.26666666666666666
miscellaneous natural or artificial environment	alt	meter	0.26666666666666666
symbiont-associated	alt	meter	0.26666666666666666
migs_ba	alt		0.7333333333333333
migs_eu	alt		0.7333333333333333
migs_org	alt		0.7333333333333333
migs_pl	alt		0.7333333333333333
migs_vi	alt		0.7333333333333333
mimag	alt		0.7333333333333333
mimarks_c	alt		0.7333333333333333
mimarks_s	alt		0.7333333333333333
mims	alt		0.7333333333333333
misag	alt		0.7333333333333333
miuvig	alt		0.7333333333333333
microbial mat/biofilm	bacteria_carb_prod	nanogram per hour	0.6666666666666666
sediment	bacteria_carb_prod	nanogram per hour	0.6666666666666666
water	bacteria_carb_prod	nanogram per hour, microgram per liter per hour	0.3333333333333333
hydrocarbon resources-cores	density	gram per cubic meter, gram per cubic centimeter	0.8
hydrocarbon resources-fluids/swabs	density	gram per cubic meter, gram per cubic centimeter	0.8
miscellaneous natural or artificial environment	density	gram per cubic meter, gram per cubic centimeter	0.8
sediment	density	gram per cubic meter, gram per cubic centimeter	0.8
water	density	gram per cubic meter, gram per cubic centimeter, kilogram per cubic meter	0.2
food-farm environment	depth	meter	0.47619047619047616
host-associated	depth	meter	0.47619047619047616
microbial mat/biofilm	depth	meter	0.47619047619047616
miscellaneous natural or artificial environment	depth	meter	0.47619047619047616
plant-associated	depth	meter	0.47619047619047616
sediment	depth	meter	0.47619047619047616
soil	depth	meter	0.47619047619047616
symbiont-associated	depth	meter	0.47619047619047616
wastewater/sludge	depth	meter	0.47619047619047616
water	depth	meter	0.47619047619047616
migs_ba	depth		0.5238095238095238
migs_eu	depth		0.5238095238095238
migs_org	depth		0.5238095238095238
migs_pl	depth		0.5238095238095238
migs_vi	depth		0.5238095238095238
mimag	depth		0.5238095238095238
mimarks_c	depth		0.5238095238095238
mimarks_s	depth		0.5238095238095238
mims	depth		0.5238095238095238
misag	depth		0.5238095238095238
miuvig	depth		0.5238095238095238
hydrocarbon resources-cores	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	0.8333333333333334
hydrocarbon resources-fluids/swabs	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	0.8333333333333334
microbial mat/biofilm	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	0.8333333333333334
miscellaneous natural or artificial environment	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	0.8333333333333334
sediment	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	0.8333333333333334
water	diss_inorg_carb	microgram per liter, milligram per liter, parts per million, micromole per kilogram	0.16666666666666666
hydrocarbon resources-cores	diss_inorg_phosp	microgram per liter, milligram per liter, parts per million	0.6666666666666666
hydrocarbon resources-fluids/swabs	diss_inorg_phosp	microgram per liter, milligram per liter, parts per million	0.6666666666666666
