class	Structured comment name	Value syntax	Frequency
agriculture	adapters	{dna},{dna}	0.08333333333333333
migs_ba	adapters	{dna};{dna}	0.9166666666666666
migs_eu	adapters	{dna};{dna}	0.9166666666666666
migs_org	adapters	{dna};{dna}	0.9166666666666666
migs_pl	adapters	{dna};{dna}	0.9166666666666666
migs_vi	adapters	{dna};{dna}	0.9166666666666666
mimag	adapters	{dna};{dna}	0.9166666666666666
mimarks_c	adapters	{dna};{dna}	0.9166666666666666
mimarks_s	adapters	{dna};{dna}	0.9166666666666666
mims	adapters	{dna};{dna}	0.9166666666666666
misag	adapters	{dna};{dna}	0.9166666666666666
miuvig	adapters	{dna};{dna}	0.9166666666666666
food-animal and animal feed	animal_feed_equip	{termLabel} [{termID}]	0.5
food-farm environment	animal_feed_equip	{termLabel}{[termID]}	0.5
agriculture	assembly_software	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]	0.08333333333333333
migs_ba	assembly_software	{software};{version};{parameters}	0.9166666666666666
migs_eu	assembly_software	{software};{version};{parameters}	0.9166666666666666
migs_org	assembly_software	{software};{version};{parameters}	0.9166666666666666
migs_pl	assembly_software	{software};{version};{parameters}	0.9166666666666666
migs_vi	assembly_software	{software};{version};{parameters}	0.9166666666666666
mimag	assembly_software	{software};{version};{parameters}	0.9166666666666666
mimarks_c	assembly_software	{software};{version};{parameters}	0.9166666666666666
mimarks_s	assembly_software	{software};{version};{parameters}	0.9166666666666666
mims	assembly_software	{software};{version};{parameters}	0.9166666666666666
misag	assembly_software	{software};{version};{parameters}	0.9166666666666666
miuvig	assembly_software	{software};{version};{parameters}	0.9166666666666666
agriculture	biotic_relationship	[free living|parasite|commensal|symbiont]	0.08333333333333333
migs_ba	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
migs_eu	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
migs_org	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
migs_pl	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
migs_vi	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
mimag	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
mimarks_c	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
mimarks_s	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
mims	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
misag	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
miuvig	biotic_relationship	[free living|parasitism|commensalism|symbiotic|mutualism]	0.9166666666666666
microbial mat/biofilm	carb_nitro_ratio	{float} {unit}	0.6666666666666666
