class_name	slot_name	is_combination
BuiltEnvironment	surf_material	False
BuiltEnvironment	indoor_surf	False
MigsBaAgriculture	nucl_acid_amp	True
MigsBaAgriculture	assembly_name	True
MigsBaAgriculture	temp	True
MigsBaAgriculture	nucl_acid_ext	True
MigsBaAgriculture	pathogenicity	True
MigsBaAgriculture	adapters	True
MigsBaAgriculture	specific_host	True
MigsBaAir	alt	True
MigsBaBuiltEnvironment	surf_material	True
MigsBaBuiltEnvironment	indoor_surf	True
MigsBaFoodFarmEnvironment	depth	True
MigsBaHydrocarbonResourcesCores	temp	True
MigsBaHydrocarbonResourcesFluidsSwabs	temp	True
MigsBaSediment	depth	True
MigsBaSoil	depth	True
MigsBaSoil	elev	True
MigsBaWater	depth	True
MigsEuAgriculture	nucl_acid_amp	True
MigsEuAgriculture	assembly_name	True
MigsEuAgriculture	temp	True
MigsEuAgriculture	nucl_acid_ext	True
MigsEuAgriculture	pathogenicity	True
MigsEuAgriculture	adapters	True
MigsEuAir	alt	True
MigsEuBuiltEnvironment	surf_material	True
MigsEuBuiltEnvironment	indoor_surf	True
MigsEuFoodFarmEnvironment	depth	True
MigsEuHydrocarbonResourcesCores	temp	True
MigsEuHydrocarbonResourcesFluidsSwabs	temp	True
MigsEuSediment	depth	True
MigsEuSoil	depth	True
MigsEuSoil	elev	True
MigsEuWater	depth	True
MigsOrgAgriculture	nucl_acid_amp	True
MigsOrgAgriculture	assembly_name	True
MigsOrgAgriculture	temp	True
MigsOrgAgriculture	nucl_acid_ext	True
MigsOrgAgriculture	adapters	True
MigsOrgAir	alt	True
MigsOrgBuiltEnvironment	surf_material	True
MigsOrgBuiltEnvironment	indoor_surf	True
MigsOrgFoodFarmEnvironment	depth	True
MigsOrgHydrocarbonResourcesCores	temp	True
MigsOrgHydrocarbonResourcesFluidsSwabs	temp	True
MigsOrgSediment	depth	True
MigsOrgSoil	depth	True
MigsOrgSoil	elev	True
MigsOrgWater	depth	True
MigsPlAgriculture	nucl_acid_amp	True
MigsPlAgriculture	assembly_name	True
MigsPlAgriculture	temp	True
MigsPlAgriculture	nucl_acid_ext	True
MigsPlAgriculture	adapters	True
MigsPlAgriculture	specific_host	True
MigsPlAir	alt	True
MigsPlBuiltEnvironment	surf_material	True
MigsPlBuiltEnvironment	indoor_surf	True
MigsPlFoodFarmEnvironment	depth	True
MigsPlHydrocarbonResourcesCores	temp	True
MigsPlHydrocarbonResourcesFluidsSwabs	temp	True
MigsPlSediment	depth	True
MigsPlSoil	depth	True
MigsPlSoil	elev	True
MigsPlWater	depth	True
MigsViAgriculture	nucl_acid_amp	True
MigsViAgriculture	assembly_name	True
MigsViAgriculture	temp	True
MigsViAgriculture	nucl_acid_ext	True
MigsViAgriculture	pathogenicity	True
MigsViAgriculture	host_spec_range	True
MigsViAgriculture	adapters	True
MigsViAgriculture	specific_host	True
MigsViAir	alt	True
MigsViBuiltEnvironment	surf_material	True
MigsViBuiltEnvironment	indoor_surf	True
MigsViFoodFarmEnvironment	depth	True
MigsViHydrocarbonResourcesCores	temp	True
MigsViHydrocarbonResourcesFluidsSwabs	temp	True
MigsViSediment	depth	True
MigsViSoil	depth	True
MigsViSoil	elev	True
MigsViWater	depth	True
MimagAgriculture	lib_screen	True
MimagAgriculture	nucl_acid_amp	True
MimagAgriculture	mid	True
MimagAgriculture	assembly_name	True
MimagAgriculture	temp	True
MimagAgriculture	nucl_acid_ext	True
MimagAgriculture	samp_size	True
MimagAgriculture	lib_reads_seqd	True
MimagAgriculture	samp_collect_device	True
MimagAgriculture	lib_vector	True
MimagAgriculture	adapters	True
MimagAgriculture	samp_mat_process	True
MimagAir	alt	True
MimagBuiltEnvironment	surf_material	True
MimagBuiltEnvironment	indoor_surf	True
MimagFoodFarmEnvironment	depth	True
MimagHydrocarbonResourcesCores	temp	True
MimagHydrocarbonResourcesFluidsSwabs	temp	True
MimagSediment	depth	True
MimagSoil	depth	True
MimagSoil	elev	True
MimagWater	depth	True
MimarksCAgriculture	pcr_primers	True
