Value syntax	term count
{float} {unit}	179
{text}	111
{integer}	34
{termLabel} {[termID]}	33
{text};{float} {unit}	30
{text}|{termLabel} {[termID]}	26
{PMID}|{DOI}|{URL}	23
{timestamp}	17
{PMID|DOI|URL}	16
{float}	12
{text};{float} {unit};{Rn/start_time/end_time/duration}	12
{software};{version};{parameters}	8
{termLabel} {[termID]}|{integer}	8
{PMID}|{DOI}|{URL}|{text}	7
{float} {unit};{Rn/start_time/end_time/duration}	6
{boolean}	6
{text};{float} {unit};{period};{interval};{period}	6
{duration}	5
{termLabel} {[termID]}|{text}	5
[presence of mold visible|no presence of mold visible]	5
{text};{Rn/start_time/end_time/duration}	4
{integer} {unit}	4
[north|south|east|west]	4
{text};{integer}	4
{float} - {float} {unit}	4
{term}	4
{float}{unit}	3
[damaged|needs repair|new|rupture|visible wear]	3
{term}: {term}, {text}	3
{float} percentage	3
[new|visible wear|needs repair|damaged|rupture]	3
{text};{period};{interval};{period}	3
{text};{text}	3
[Archean|Cambrian|Carboniferous|Cenozoic|Cretaceous|Devonian|Jurassic|Mesozoic|Neogene|Ordovician|Paleogene|Paleozoic|Permian|Precambrian|Proterozoic|Silurian|Triassic|other]	2
{termLabel}{[termID]}	2
{float} {unit};{period};{interval};{period}	2
{float} {unit};{float} {unit}	2
{percentage}	2
{rank name}:{text}	2
{boolean};{timestamp}	2
{boolean};{text}	2
{TermLabel} {[termID]}|{integer}	2
{boolean};{float} {unit}	2
{text};{duration}	2
{text} {integer}	2
{text} {text}	2
{text};{float} {unit};[ATP|MPN|qPCR|other]	2
[north|south|east|west|northeast|southeast|southwest|northwest]	2
{float}-{float} {unit}	2
{text};{text};{timestamp}	2
[Oil|Gas-Condensate|Gas|Bitumen|Coalbed Methane|other]	1
[Water Injection|Dump Flood|Gas Injection|Wag Immiscible Injection|Polymer Addition|Surfactant Addition|Not Applicable|other];{timestamp}	1
[typically occupied|typically unoccupied]	1
[urban|rural]	1
[urban|suburban|exurban|rural]	1
[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	1
[North side|West side|South side|East side]	1
[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]	1
[wild|natural|semi-natural|inbred line|breeder's line|hybrid|clonal selection|mutant]	1
[well|test well|drilling rig|wellhead|separator|storage tank|other]	1
[tile|wood strip or parquet|carpet|rug|laminate wood|lineoleum|vinyl composition tile|sheet vinyl|stone|bamboo|cork|terrazo|concrete|none;specify unfinished|sealed|clear finish|paint]	1
[north corner|south corner|west corner|east corner|northeast corner|northwest corner|southeast corner|southwest corner|center]	1
[wood frame|concrete]	1
{{text}|{float} {unit}};{float} {unit}	1
[normal|over conditioned|under conditioned]	1
[new|visible wear|needs repair|damaged|rupture|visible signs of mold/mildew]	1
{boolean},{integer}	1
{boolean};[adverse event|non-compliance|lost to follow up|other-specify]	1
[Type I|Type II|Type III|Type IV|other]	1
[subway|coach|carriage|elevator|escalator|boat|train|car|bus]	1
[natural light|electric light|desk lamp|flourescent lights|natural light|none]	1
[summit|shoulder|backslope|footslope|toeslope]	1
{boolean};{boolean}	1
[operation|as built|construction|bid|design|building navigation map|diagram|sketch]	1
[operation|as built|construction|bid|design|photos]	1
[painted|wall paper|no treatment|paneling|stucco|fabric]	1
[particulate air filter|chemical air filter|low-MERV pleated media|HEPA|electrostatic|gas-phase or ultraviolet air treatments]	1
[Oil Reservoir|Gas Reservoir|Oil Sand|Coalbed|Shale|Tight Oil Reservoir|Tight Gas Reservoir|other]	1
[plane|glider]	1
[Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday]	1
[oil phase|water phase|biofilm|not applicable|other]	1
[plant cutting|pregerminated seed|ratoon|seed|seedling|whole mature plant]	1
[plaster|gypsum plaster|veneer plaster|gypsum board|tile|terrazzo|stone facing|acoustical treatment|wood|metal|masonry]	1
[office|market|restaurant|residence|school|residential|commercial|low rise|high rise|wood framed|office|health care|school|airport|sports complex]	1
[radiant system|heat pump|forced air system|steam forced heat|wood stove]	1
[red|green|orange]	1
[single-hung sash window|horizontal sash window|fixed window]	1
[multiple users, agricutural|multiple users, other|no sharing]	1
[south station above ground|south station underground|south station amtrak|forest hills|riverside]	1
[obstructed|unobstructed]; {text}; {measurement value}	1
[Spring|Summer|Fall|Winter]	1
[photos|videos|commonly of the building|site context (adjacent buildings, vegetation, terrain, streets)|interiors|equipment|3D scans]	1
{float} m	1
{boolean};{integer}	1
{text};{integer}/[year|month|week|day|hour]	1
{term}:{term}, {text}	1
{termLabel} {[termID]} 	1
{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	1
{termLabel} {[termID]};{timestamp}	1
{text} {float} {unit}	1
{text};{float} {unit};[ATP|MPN|qPCR|spread plate|other]	1
