slot_name	domain
agriculture_data	MixsCompliantData
air_data	MixsCompliantData
built_environment_data	MixsCompliantData
food_animal_and_animal_feed_data	MixsCompliantData
food_farm_environment_data	MixsCompliantData
food_food_production_facility_data	MixsCompliantData
food_human_foods_data	MixsCompliantData
host_associated_data	MixsCompliantData
human_associated_data	MixsCompliantData
human_gut_data	MixsCompliantData
human_oral_data	MixsCompliantData
human_skin_data	MixsCompliantData
human_vaginal_data	MixsCompliantData
hydrocarbon_resources_cores_data	MixsCompliantData
hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
microbial_mat_biofilm_data	MixsCompliantData
migs_ba_agriculture_data	MixsCompliantData
migs_ba_air_data	MixsCompliantData
migs_ba_built_environment_data	MixsCompliantData
migs_ba_data	MixsCompliantData
migs_ba_food_animal_and_animal_feed_data	MixsCompliantData
migs_ba_food_farm_environment_data	MixsCompliantData
migs_ba_food_food_production_facility_data	MixsCompliantData
migs_ba_food_human_foods_data	MixsCompliantData
migs_ba_host_associated_data	MixsCompliantData
migs_ba_human_associated_data	MixsCompliantData
migs_ba_human_gut_data	MixsCompliantData
migs_ba_human_oral_data	MixsCompliantData
migs_ba_human_skin_data	MixsCompliantData
migs_ba_human_vaginal_data	MixsCompliantData
migs_ba_hydrocarbon_resources_cores_data	MixsCompliantData
migs_ba_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
migs_ba_microbial_mat_biofilm_data	MixsCompliantData
migs_ba_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
migs_ba_plant_associated_data	MixsCompliantData
migs_ba_sediment_data	MixsCompliantData
migs_ba_soil_data	MixsCompliantData
migs_ba_symbiont_associated_data	MixsCompliantData
migs_ba_wastewater_sludge_data	MixsCompliantData
migs_ba_water_data	MixsCompliantData
migs_eu_agriculture_data	MixsCompliantData
migs_eu_air_data	MixsCompliantData
migs_eu_built_environment_data	MixsCompliantData
migs_eu_data	MixsCompliantData
migs_eu_food_animal_and_animal_feed_data	MixsCompliantData
migs_eu_food_farm_environment_data	MixsCompliantData
migs_eu_food_food_production_facility_data	MixsCompliantData
migs_eu_food_human_foods_data	MixsCompliantData
migs_eu_host_associated_data	MixsCompliantData
migs_eu_human_associated_data	MixsCompliantData
migs_eu_human_gut_data	MixsCompliantData
migs_eu_human_oral_data	MixsCompliantData
migs_eu_human_skin_data	MixsCompliantData
migs_eu_human_vaginal_data	MixsCompliantData
migs_eu_hydrocarbon_resources_cores_data	MixsCompliantData
migs_eu_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
migs_eu_microbial_mat_biofilm_data	MixsCompliantData
migs_eu_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
migs_eu_plant_associated_data	MixsCompliantData
migs_eu_sediment_data	MixsCompliantData
migs_eu_soil_data	MixsCompliantData
migs_eu_symbiont_associated_data	MixsCompliantData
migs_eu_wastewater_sludge_data	MixsCompliantData
migs_eu_water_data	MixsCompliantData
migs_org_agriculture_data	MixsCompliantData
migs_org_air_data	MixsCompliantData
migs_org_built_environment_data	MixsCompliantData
migs_org_data	MixsCompliantData
migs_org_food_animal_and_animal_feed_data	MixsCompliantData
migs_org_food_farm_environment_data	MixsCompliantData
migs_org_food_food_production_facility_data	MixsCompliantData
migs_org_food_human_foods_data	MixsCompliantData
migs_org_host_associated_data	MixsCompliantData
migs_org_human_associated_data	MixsCompliantData
migs_org_human_gut_data	MixsCompliantData
migs_org_human_oral_data	MixsCompliantData
migs_org_human_skin_data	MixsCompliantData
migs_org_human_vaginal_data	MixsCompliantData
migs_org_hydrocarbon_resources_cores_data	MixsCompliantData
migs_org_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
migs_org_microbial_mat_biofilm_data	MixsCompliantData
migs_org_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
migs_org_plant_associated_data	MixsCompliantData
migs_org_sediment_data	MixsCompliantData
migs_org_soil_data	MixsCompliantData
migs_org_symbiont_associated_data	MixsCompliantData
migs_org_wastewater_sludge_data	MixsCompliantData
migs_org_water_data	MixsCompliantData
migs_pl_agriculture_data	MixsCompliantData
migs_pl_air_data	MixsCompliantData
migs_pl_built_environment_data	MixsCompliantData
migs_pl_data	MixsCompliantData
migs_pl_food_animal_and_animal_feed_data	MixsCompliantData
migs_pl_food_farm_environment_data	MixsCompliantData
migs_pl_food_food_production_facility_data	MixsCompliantData
migs_pl_food_human_foods_data	MixsCompliantData
migs_pl_host_associated_data	MixsCompliantData
migs_pl_human_associated_data	MixsCompliantData
migs_pl_human_gut_data	MixsCompliantData
migs_pl_human_oral_data	MixsCompliantData
migs_pl_human_skin_data	MixsCompliantData
migs_pl_human_vaginal_data	MixsCompliantData
migs_pl_hydrocarbon_resources_cores_data	MixsCompliantData
migs_pl_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
migs_pl_microbial_mat_biofilm_data	MixsCompliantData
migs_pl_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
migs_pl_plant_associated_data	MixsCompliantData
migs_pl_sediment_data	MixsCompliantData
migs_pl_soil_data	MixsCompliantData
migs_pl_symbiont_associated_data	MixsCompliantData
migs_pl_wastewater_sludge_data	MixsCompliantData
migs_pl_water_data	MixsCompliantData
