attribute_name,count
geo_loc_name,11146208
geographic location (country and/or sea),6136722
geo loc name,202627
country,158574
geographic location,65205
"geographic location (country and/or sea, region)",21239
"geographic location (countryand/orsea,region)",13001
"geographic location (country and/or sea,region)",10797
geographic_location,8260
geographical location,6869
Country,5151
Geographic location,4813
geo-loc-name,4070
Geographic Location,3042
COUNTRY,3017
GeographicLocation,2600
geographic location country and or sea,1154
Geographic_Location,1069
"Geographic location (country:region,area)",1067
geographic location (country),1030
Geo_loc_name,951
geographical_location,759
geolocname,691
geographic location (locality),403
Geographic origin,376
Geographical location,372
Geographic_location,279
GEOGRAPHIC_LOCATION,191
Geographical Location,188
geographic origin,124
geoloc_name,122
GEOGRAPHIC LOCATION,110
Geo loc name,60
Geographic_origin,54
Geographic location (locality),32
Geo_Loc_Name,25
geo   loc   name,21
Geographic Origin,20
geographic_origin,13
"geographic location (country and/or                     sea,region)",10
"Geographical location (country:region, location)",10
geographic location (Country),10
geo loc_name,8
Geographical_location,6
geographic_location_country_and_or_sea,4
geographic location (country and/or sea region),2
Geographic  Location,1
geographic _location,1
