"package_name","count"
Generic,20077752
SARS-CoV-2: clinical or host-associated; version 1.0,3177201
Metagenome or environmental; version 1.0,2199457
Pathogen: clinical or host-associated; version 1.0,1322967
Plant; version 1.0,877321
Model organism or animal; version 1.0,837966
Human; version 1.0,736302
Microbe; version 1.0,602005
Pathogen: environmental/food/other; version 1.0,410110
Invertebrate; version 1.0,313608
"MIMARKS: survey, host-associated; version 6.0",180971
MIGS: eukaryote; version 6.0,147877
"MIMS: metagenome/environmental, host-associated; version 6.0",125347
"MIMS: metagenome/environmental, human-gut; version 6.0",124297
"MIMARKS: survey, soil; version 6.0",101185
"MIMARKS: survey, human-gut; version 6.0",100335
"MIMS: metagenome/environmental, soil; version 6.0",91061
"MIMARKS: survey, plant-associated; version 6.0",88650
"MIMARKS: survey, water; version 6.0",68670
"MIMARKS: survey, human-associated; version 6.0",65646
SARS-CoV-2: wastewater surveillance; version 1.0,57337
"MIMARKS: specimen, host-associated; version 6.0",55035
"MIMS: metagenome/environmental, water; version 6.0",53890
"MIMS: metagenome/environmental, plant-associated; version 6.0",48943
"MIMARKS: survey, miscellaneous; version 6.0",42380
MIGS: cultured bacteria/archaea; version 6.0,41444
"MIMS: metagenome/environmental, human-associated; version 6.0",39926
Virus; version 1.0,33277
"MIMARKS: survey, human-oral; version 6.0",32498
"MIMAG: metagenome-assembled genome, human-gut; version 6.0",31752
"MIMARKS: specimen, human-gut; version 6.0",28063
"MIMS: metagenome/environmental, human-oral; version 6.0",27859
"MIMARKS: survey, human-vaginal; version 6.0",25942
MIMAG: metagenome-assembled genome; version 6.0,23819
"MIMARKS: survey, sediment; version 6.0",21248
"MIMS: metagenome/environmental, sediment; version 6.0",18921
"MIMAG: metagenome-assembled genome, host-associated; version 6.0",18666
"MIMS: metagenome/environmental, human-skin; version 6.0",18542
"MIGS: cultured bacteria/archaea, human-associated; version 6.0",17749
"MIMARKS: specimen, human-associated; version 6.0",17694
"MIMS: metagenome/environmental, miscellaneous; version 6.0",17434
MIMARKS: specimen; version 6.0,17007
"MIMAG: metagenome-assembled genome, sediment; version 6.0",16888
"MIGS: cultured bacteria/archaea, human-gut; version 6.0",16443
"MIMAG: metagenome-assembled genome, water; version 6.0",16154
"MIMARKS: survey, wastewater; version 6.0",15344
"MIMS: metagenome/environmental, wastewater; version 6.0",14254
"MIGS: cultured bacteria/archaea, host-associated; version 6.0",13365
"MIGS: eukaryote, host-associated; version 6.0",12401
"MIGS: eukaryote, plant-associated; version 6.0",11923
"MIMAG: metagenome-assembled genome, wastewater; version 6.0",11793
"MIMARKS: specimen, soil; version 6.0",11336
"MIMARKS: survey, human-skin; version 6.0",10940
"MIMARKS: specimen, plant-associated; version 6.0",10900
"MIMS: metagenome/environmental, human-vaginal; version 6.0",9792
"MIMARKS: specimen, human-oral; version 6.0",8909
"MIMARKS: specimen, human-vaginal; version 6.0",8377
"MISAG: single amplified genome, water; version 6.0",8240
"MIMARKS: survey, microbial; version 6.0",7104
"MIMARKS: specimen, water; version 6.0",6586
"MIMS: metagenome/environmental, microbial; version 6.0",5940
"MIMARKS: survey, built; version 6.0",5860
"MIMARKS: specimen, miscellaneous; version 6.0",5309
"MIGS: cultured bacteria/archaea, water; version 6.0",5184
"MISAG: single amplified genome, soil; version 6.0",4845
"MIGS: eukaryote, water; version 6.0",4688
