harmonized_name,count
,199872655
geo_loc_name,19224188
collection_date,18150480
host,13849339
isolate,11536100
sample_name,10389482
sex,10005591
tissue,9766780
isolation_source,9398193
host_sex,6810921
lat_lon,6724844
study_name,6557726
submitter_handle,6556133
biospecimen_repository,6556133
submitted_sample_id,6556111
submitted_subject_id,6556105
biospecimen_repository_sample_id,6556103
gap_accession,6556085
gap_subject_id,6556055
gap_sample_id,6556055
study_design,5850288
collected_by,5715785
analyte_type,5687575
gap_consent_code,5467985
gap_consent_short_name,5346037
host_subject_id,4900576
samp_capt_status,4866437
host_disease,4841948
strain,4641706
host_common_name,4242116
host_health_state,4227119
source_name,3972686
env_broad_scale,3714596
env_medium,3588020
age,3455630
env_local_scale,3340203
is_tumor,3297877
host_age,2986221
subject_is_affected,2960478
purpose_of_sequencing,2553527
molecular_data_type,2455694
histological_type,2170510
collection_method,2071053
collection_device,2042044
dev_stage,2023454
sample_type,1827609
cell_type,1726132
project_name,1620170
genotype,1369695
study_disease,1364187
biomaterial_provider,1293816
treatment,1269239
cultivar,1197440
investigation_type,1089425
ecotype,1036989
cell_line,873657
gisaid_virus_name,822041
depth,767495
disease,683305
breed,644880
elev,635921
isol_growth_condt,590075
sequenced_by,588301
serovar,586310
gisaid_accession,521667
sub_species,513589
samp_collect_device,473655
source_material_id,467833
isolate_name_alias,392299
ref_biomaterial,390617
phenotype,374061
purpose_of_sampling,343134
timepoint,338557
host_description,327454
host_tissue_sampled,326965
host_taxid,325913
description,321880
body_product,312406
env_package,302026
samp_size,272943
samp_mat_process,265166
num_replicons,259691
host_body_product,237660
specimen_voucher,233289
temp,217271
derived_from,203082
ethnicity,194706
population,176388
altitude,174383
ploidy,171886
estimated_size,151749
host_body_habitat,151711
identified_by,143955
propagation,137781
rel_to_oxygen,130491
ph,129322
race,127275
source_type,125941
samp_store_temp,118919
culture_collection,115926
host_life_stage,111542
host_disease_outcome,108301
host_body_mass_index,102107
life_stage,100804
disease_stage,100336
host_genotype,95846
health_state,94912
host_diet,93759
body_mass_index,90394
host_height,89528
diet,86132
label,85529
passage_history,83813
body_habitat,82160
misc_param,82078
cell_subtype,80000
serotype,77239
lab_host,75714
host_anatomical_part,65318
growth_protocol,65270
chem_administration,64320
ww_sample_duration,63750
ww_population,63746
ww_sample_type,63730
ww_surv_target_1_known_present,63730
ww_surv_target_1,63730
ww_sample_matrix,63730
birth_date,59531
samp_vol_we_dna_ext,59469
purpose_of_ww_sampling,57546
ww_sample_site,54810
birth_location,50358
store_cond,49778
compound,47274
salinity,46778
source_uvig,46617
ww_surv_system_sample_id,46516
perturbation,44160
virus_enrich_appr,43970
family_id,43787
samp_store_loc,43170
ww_surv_jurisdiction,42864
mating_type,42138
sars_cov_2_diag_pcr_ct_value_1,40697
subgroup,39989
subtype,38867
host_phenotype,38840
experimental_factor,37859
dominant_hand,36831
ww_processing_protocol,35222
biotic_relationship,34571
bio_material,33863
soil_type,33349
organism_count,33285
host_tot_mass,32331
infra_specific_name,32138
sars_cov_2_diag_gene_name_1,32094
substrain,31494
variety,31413
ph_meth,30744
tot_nitro,30296
passage_method,30271
samp_store_dur,30236
host_specimen_voucher,30222
family_relationship,29993
passage_number,28819
nitrate,28498
genetic_mod,27753
season,27724
ww_surv_target_1_conc_unit,27322
ww_surv_target_1_conc,26917
dose,26759
plant_struc,25916
phosphate,25650
breeding_history,25425
ww_flow,25410
plant_body_site,25345
ww_surv_target_1_gene,25170
size_frac,24448
height_or_length,24326
gastrointest_disord,23203
vaccine_received,23119
ammonium,23090
breeding_method,22890
diss_oxygen,22530
purpose_of_ww_sequencing,22362
annual_season_precpt,22215
death_date,22124
ww_population_source,22117
pathotype,22092
cur_land_use,21926
cur_vegetation,21228
oxy_stat_samp,20972
plant_growth_med,20412
tot_org_carb,20242
annual_season_temp,20231
host_disease_stage,19648
host_infra_specific_name,19508
stud_book_number,19467
host_family_relationship,19420
watering_regm,19071
sieving,18716
karyotype,18452
nitrite,18347
ww_surv_target_1_protocol,18238
soil_text_measure,18041
chlorophyll,17550
agrochem_addition,17464
repository,17419
sulfate,17077
omics_observ_id,16967
oxygen,16959
air_temp_regm,16856
indoor_space,15616
host_body_temp,14968
building_setting,14962
build_occup_type,14858
host_infra_specific_rank,14848
water_content_soil,14775
air_temp,14432
