MIXS ID	Structured comment name	class	mixs matching attribute	mixs matching value	ontology id
MIXS:0000008	experimental_factor	migs_eu	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	migs_eu	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	migs_ba	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	migs_ba	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	migs_pl	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	migs_pl	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	migs_vi	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	migs_vi	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	migs_org	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	migs_org	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	mims	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	mims	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	mimarks_s	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	mimarks_s	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	mimarks_c	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	mimarks_c	Expected value	text or EFO and/or OBI	OBI
