name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
birth_control	birth control	MIXS:0000286		Specification of birth control medication used						string			{text}		medication name	
chem_administration	chemical administration	MIXS:0000751		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	{'value': 'agar [CHEBI:2509];2018-05-11T20:00Z'}		administration	True		string			{termLabel} [{termID}];{timestamp}		CHEBI;timestamp	
douche	douche	MIXS:0000967		Date of most recent douche	{'value': '2013-03-25T12:42:31+01:00'}					datetime						
ethnicity	ethnicity	MIXS:0000895		A category of people who identify with each other, usually on the basis of presumed similarities such as a common language, ancestry, history, society, culture, nation or social treatment within their residing area. https://en.wikipedia.org/wiki/List_of_contemporary_ethnic_groups	{'value': 'native american'}			True		string			{text}		text recommend from Wikipedia list	
gynecologic_disord	gynecological disorder	MIXS:0000288		History of gynecological disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, female reproductive system disease (https://disease-ontology.org/?id=DOID:229)			disorder	True		string						
host_age	host age	MIXS:0000255		Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees	{'value': '30 years'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
host_body_mass_index	host body-mass index	MIXS:0000317		Body mass index, calculated as weight/(height)squared	{'value': '22 kilogram per square meter'}		host|host.		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		kilogram per square meter
host_body_product	host body product	MIXS:0000888		Substance produced by the body, e.g. Stool, mucus, where the sample was obtained from. Use terms from the foundational model of anatomy ontology (fma) or Uber-anatomy ontology (UBERON)	{'value': 'mucus [FMA:66938]'}		body|host|host.|product			string			{termLabel} [{termID}]		FMA or UBERON	
host_body_site	host body site	MIXS:0000867		Name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). Use terms from the foundational model of anatomy ontology (fma) or the Uber-anatomy ontology (UBERON)	{'value': 'Ectocervix [fma86484]'}					string			{termLabel} [{termID}]			
host_body_temp	host body temperature	MIXS:0000274		Core body temperature of the host when sample was collected	{'value': '36.5 degree Celsius'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
host_diet	host diet	MIXS:0000869		Type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	{'value': 'high-fat'}			True		string						
host_disease_stat	host disease status	MIXS:0000031		List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text	{'value': 'measles [DOID:8622]'}					string			{termLabel} [{termID}]|{text}			
host_fam_rel	host family relationship	MIXS:0000872		Relationships to other hosts in the same study; can include multiple relationships	{'value': 'mother;ID298'}			True		string			{text};{text}			
host_genotype	host genotype	MIXS:0000365		Observed genotype	{'value': 'ST1'}					string						
host_height	host height	MIXS:0000264		The height of subject	{'value': '1.75 meter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
host_last_meal	host last meal	MIXS:0000870		Content of last meal and time since feeding; can include multiple values	{'value': 'french fries;P5H30M'}			True		string			{text};{duration}			
host_occupation	host occupation	MIXS:0000896	Couldn't convert host_occupation with value veterinary to integer|almost all host_occupation values in the NCBI biosample_set are strings, not integers	Most frequent job performed by subject	{'value': 'veterinary'}		host|host.			string						
host_phenotype	host phenotype	MIXS:0000874		Phenotype of human or other host. Use terms from the phenotypic quality ontology (pato) or the Human Phenotype Ontology (HP)	{'value': 'Tinnitus [HP:0000360]'}					string			{termLabel} [{termID}]			
host_pulse	host pulse	MIXS:0000333		Resting pulse, measured as beats per minute	{'value': '65 beats per minute'}		host|host.		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		beats per minute
host_sex	host sex	MIXS:0000811	example of non-binary from Excel sheets does not match any of the enumerated values	Gender or physical sex of the host			host|host.			string			"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]"		enumeration	
host_subject_id	host subject id	MIXS:0000861		A unique identifier by which each subject can be referred to, de-identified	{'value': 'MPI123'}					string						
host_symbiont	observed host symbionts	MIXS:0001298		The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite)	{'value': 'flukeworms'}			True		string			{text}			
