name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
adapters	adapters	MIXS:0000048		Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters						string	True		{dna};{dna}			
alkalinity	alkalinity	MIXS:0000421		Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	{'value': '50 milligram per liter'}		alkalinity		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milliequivalent per liter, milligram per liter
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
ammonium	ammonium	MIXS:0000427		Concentration of ammonium in the sample	{'value': '1.5 milligram per liter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
annot	annotation	MIXS:0000059		Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter						string	True		{text}			
assembly_name	assembly name	MIXS:0000057		Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community						string	True		{text} {text}			
assembly_qual	assembly quality	MIXS:0000056		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the large subunit (LSU) RNA, small subunit (SSU) and the presence of 5.8S rRNA or 5S rRNA depending on whether it is a eukaryotic or prokaryotic genome, respectively. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling   90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated						string		True	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]			
assembly_software	assembly software	MIXS:0000058		Tool(s) used for assembly, including version number and parameters					^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string		True		{'syntax': '^{software};{version};{parameters}$', 'interpolated': True, 'partial_match': True}		
associated_resource	relevant electronic resources	MIXS:0000091		A related resource that is referenced, cited, or otherwise associated to the sequence	{'value': 'http://www.earthmicrobiome.org/'}	sequencing	resource	True		string	True		{PMID}|{DOI}|{URL}		reference to resource	
biomass	biomass	MIXS:0000174		Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	{'value': 'total;20 gram'}		biomass	True		string			{text};{float} {unit}		biomass type;measurement value	ton, kilogram, gram
biotic_relationship	observed biotic relationship	MIXS:0000028		Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	{'value': 'free living'}	nucleic acid sequence source	observed|relationship			BioticRelationshipEnum						
