name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
adapters	adapters	MIXS:0000048		Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters						string	True		{dna};{dna}			
air_temp_regm	air temperature regimen	MIXS:0000551		Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens	{'value': '25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M'}		air|regimen|temperature	True		string			{float} {unit};{Rn/start_time/end_time/duration}		temperature value;treatment interval and duration	meter
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
ances_data	ancestral data	MIXS:0000247		Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)	{'value': 'A/3*B'}					string						
annot	annotation	MIXS:0000059		Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter						string	True		{text}			
antibiotic_regm	antibiotic regimen	MIXS:0000553		Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens	{'value': 'penicillin;5 milligram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M'}		regimen	True		string			{text};{float} {unit};{Rn/start_time/end_time/duration}		antibiotic name;antibiotic amount;treatment interval and duration	milligram
assembly_name	assembly name	MIXS:0000057		Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community						string	True		{text} {text}			
assembly_qual	assembly quality	MIXS:0000056		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the large subunit (LSU) RNA, small subunit (SSU) and the presence of 5.8S rRNA or 5S rRNA depending on whether it is a eukaryotic or prokaryotic genome, respectively. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling   90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated	{'value': 'High-quality draft genome'}	sequencing	quality			string			[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]		enumeration	
assembly_software	assembly software	MIXS:0000058		Tool(s) used for assembly, including version number and parameters					^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string		True		{'syntax': '^{software};{version};{parameters}$', 'interpolated': True, 'partial_match': True}		
associated_resource	relevant electronic resources	MIXS:0000091		A related resource that is referenced, cited, or otherwise associated to the sequence	{'value': 'http://www.earthmicrobiome.org/'}	sequencing	resource	True		string	True		{PMID}|{DOI}|{URL}		reference to resource	
biol_stat	biological status	MIXS:0000858		The level of genome modification	{'value': 'natural'}		status			string			[wild|natural|semi-natural|inbred line|breeder's line|hybrid|clonal selection|mutant]		enumeration	
biotic_regm	biotic regimen	MIXS:0001038		Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi	{'value': 'sample inoculated with Rhizobium spp. Culture'}		regimen	True		string						
biotic_relationship	observed biotic relationship	MIXS:0000028		Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	{'value': 'free living'}	nucleic acid sequence source	observed|relationship			BioticRelationshipEnum						
chem_administration	chemical administration	MIXS:0000751		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	{'value': 'agar [CHEBI:2509];2018-05-11T20:00Z'}		administration	True		string			{termLabel} [{termID}];{timestamp}		CHEBI;timestamp	
chem_mutagen	chemical mutagen	MIXS:0000555		Treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mutagen regimens	{'value': 'nitrous acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M'}			True		string			{text};{float} {unit};{Rn/start_time/end_time/duration}		mutagen name;mutagen amount;treatment interval and duration	milligram per liter
climate_environment	climate environment	MIXS:0001040		Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates				True		string			{text};{Rn/start_time/end_time/duration}			
collection_date	collection date	MIXS:0000011		The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2013-03-25T12:42:31+01:00'}	environment	date			datetime		True				
compl_score	completeness score	MIXS:0000069		Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores	{'value': 'med;60%'}	sequencing	score			string			[high|med|low];{percentage}		quality;percent completeness	
compl_software	completeness software	MIXS:0000070		Tools used for completion estimate, i.e. checkm, anvi'o, busco	{'value': 'checkm'}	sequencing	software			string			{software};{version}		names and versions of software(s) used	
cult_root_med	culture rooting medium	MIXS:0001041		Name or reference for the hydroponic or in vitro culture rooting medium; can be the name of a commonly used medium or reference to a specific medium, e.g. Murashige and Skoog medium. If the medium has not been formally published, use the rooting medium descriptors	{'value': 'http://himedialabs.com/TD/PT158.pdf'}		culture			string			{text}|{PMID}|{DOI}|{URL}		name, PMID,DOI or url	
depth	depth	MIXS:0000018		The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples	{'value': '10 meter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
elev	elevation	MIXS:0000093		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
encoded_traits	encoded traits	MIXS:0000034		Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage						string	True		{text}			
