name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
abs_air_humidity	absolute air humidity	MIXS:0000122		Actual mass of water vapor - mh20 - present in the air water vapor mixture	{'value': '9 gram per gram'}		absolute|air|humidity		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram per gram, kilogram per kilogram, kilogram, pound
adapters	adapters	MIXS:0000048		Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters						string	True		{dna};{dna}			
address	address	MIXS:0000218		The street name and building number where the sampling occurred						string			{integer}{text}		value	
adj_room	adjacent rooms	MIXS:0000219		List of rooms (room number, room name) immediately adjacent to the sampling room			adjacent|room		^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[1-9][0-9]*$	string				{'syntax': '^{room_name};{room_number}$', 'interpolated': True, 'partial_match': True}		
aero_struc	aerospace structure	MIXS:0000773		Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together	{'value': 'plane'}					AeroStrucEnum						
air_temp	air temperature	MIXS:0000124		Temperature of the air at the time of sampling	{'value': '20 degree Celsius'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
amount_light	amount of light	MIXS:0000140		The unit of illuminance and luminous emittance, measuring luminous flux per unit area			light		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		lux, lumens per square meter
annot	annotation	MIXS:0000059		Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter	{'value': 'prokka'}	sequencing				string			{text}		name of tool or pipeline used, or annotation source description	
arch_struc	architectural structure	MIXS:0000774		An architectural structure is a human-made, free-standing, immobile outdoor construction	{'value': 'shed'}					ArchStrucEnum						
assembly_name	assembly name	MIXS:0000057		Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community						string	True		{text} {text}			
assembly_qual	assembly quality	MIXS:0000056		The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the large subunit (LSU) RNA, small subunit (SSU) and the presence of 5.8S rRNA or 5S rRNA depending on whether it is a eukaryotic or prokaryotic genome, respectively. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling   90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated						string		True	[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]			
assembly_software	assembly software	MIXS:0000058		Tool(s) used for assembly, including version number and parameters					^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string		True		{'syntax': '^{software};{version};{parameters}$', 'interpolated': True, 'partial_match': True}		
associated_resource	relevant electronic resources	MIXS:0000091		A related resource that is referenced, cited, or otherwise associated to the sequence	{'value': 'http://www.earthmicrobiome.org/'}	sequencing	resource	True		string	True		{PMID}|{DOI}|{URL}		reference to resource	
avg_dew_point	average dew point	MIXS:0000141		The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	{'value': '25.5 degree Celsius'}		average		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
avg_occup	average daily occupancy	MIXS:0000775		Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room	{'value': '2'}					float						
avg_temp	average temperature	MIXS:0000142		The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day	{'value': '12.5 degree Celsius'}		average|temperature		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
