name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
associated_resource	relevant electronic resources	MIXS:0000091		A related resource that is referenced, cited, or otherwise associated to the sequence	{'value': 'http://www.earthmicrobiome.org/'}	sequencing	resource	True		string	True		{PMID}|{DOI}|{URL}		reference to resource	
association_duration	duration of association with the host	MIXS:0001299		Time spent in host of the symbiotic organism at the time of sampling; relevant scale depends on symbiotic organism and study			duration|host|host.|period		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		year, day, hour
biotic_relationship	observed biotic relationship	MIXS:0000028		Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object						BioticRelationshipEnum	True					
chem_administration	chemical administration	MIXS:0000751		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	{'value': 'agar [CHEBI:2509];2018-05-11T20:00Z'}		administration	True		string			{termLabel} [{termID}];{timestamp}		CHEBI;timestamp	
chimera_check	chimera check software	MIXS:0000052		Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences					^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{software};{version};{parameters}$', 'interpolated': True, 'partial_match': True}		
collection_date	collection date	MIXS:0000011		The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2013-03-25T12:42:31+01:00'}	environment	date			datetime		True				
depth	depth	MIXS:0000018		The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples	{'value': '10 meter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
elev	elevation	MIXS:0000093		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
env_broad_scale	broad-scale environmental context	MIXS:0000012		Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	{'value': 'rangeland biome [ENVO:01000247]'}	environment	context|environmental		^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	string		True		{'syntax': '^{termLabel} \\[{termID}\\]$', 'interpolated': True, 'partial_match': True}		
