name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
adapters	adapters	MIXS:0000048		Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters						string	True	True	{dna};{dna}			
adjacent_environment	environment adjacent to site	MIXS:0001121		Description of the environmental system or features that are adjacent to the sampling site. This field accepts terms under ecosystem (http://purl.obolibrary.org/obo/ENVO_01001110) and human construction (http://purl.obolibrary.org/obo/ENVO_00000070). Multiple terms can be separated by pipes	{'value': 'estuarine biome [ENVO:01000020]'}		adjacent|environment|site	True		string			{termLabel}{[termID]}		ENVO_01001110 or ENVO_00000070	
agrochem_addition	history/agrochemical additions	MIXS:0000639		Addition of fertilizers, pesticides, etc. - amount and time of applications	{'value': 'roundup;5 milligram per liter;2018-06-21'}		history	True		string			{text};{float} {unit};{timestamp}		agrochemical name;agrochemical amount;timestamp	gram, mole per liter, milligram per liter
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air					^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
ances_data	ancestral data	MIXS:0000247		Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)	{'value': 'A/3*B'}					string						
anim_water_method	animal water delivery method	MIXS:0001115		Description of the equipment or method used to distribute water to livestock. This field accepts termed listed under water delivery equipment (http://opendata.inra.fr/EOL/EOL_0001653). Multiple terms can be separated by pipes	{'value': 'water trough [EOL:0001618]'}		animal|delivery|method|water	True	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	string				{'syntax': '^{termLabel} \\[{termID}\\]$', 'interpolated': True, 'partial_match': True}		
annot	annotation	MIXS:0000059		Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter						string	True		{text}			
annual_precpt	mean annual precipitation	MIXS:0000644		The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps			mean		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		millimeter
annual_temp	mean annual temperature	MIXS:0000642		Mean annual temperature	{'value': '12.5 degree Celsius'}		mean|temperature		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
assembly_name	assembly name	MIXS:0000057		Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community						string		True	{text} {text}			
