name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
alkalinity	alkalinity	MIXS:0000421		Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	{'value': '50 milligram per liter'}		alkalinity		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milliequivalent per liter, milligram per liter
alkalinity_method	alkalinity method	MIXS:0000298		Method used for alkalinity measurement	{'value': 'titration'}		alkalinity|method			string						
alkyl_diethers	alkyl diethers	MIXS:0000490		Concentration of alkyl diethers	{'value': '0.005 mole per liter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
aminopept_act	aminopeptidase activity	MIXS:0000172		Measurement of aminopeptidase activity	{'value': '0.269 mole per liter per hour'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		mole per liter per hour
ammonium	ammonium	MIXS:0000427		Concentration of ammonium in the sample	{'value': '1.5 milligram per liter'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
atmospheric_data	atmospheric data	MIXS:0001097		Measurement of atmospheric data; can include multiple data	{'value': 'wind speed;9 knots'}			True		string			{text};{float} {unit}		atmospheric data name;measurement value	
bac_prod	bacterial production	MIXS:0000683		Bacterial production in the water column measured by isotope uptake	{'value': '5 milligram per cubic meter per day'}		production		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per cubic meter per day
bac_resp	bacterial respiration	MIXS:0000684		Measurement of bacterial respiration in the water column	{'value': '300 micromole oxygen per liter per hour'}				^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per cubic meter per day, micromole oxygen per liter per hour
bacteria_carb_prod	bacterial carbon production	MIXS:0000173		Measurement of bacterial carbon production	{'value': '2.53 microgram per liter per hour'}		carbon|production		^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
biomass	biomass	MIXS:0000174		Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	{'value': 'total;20 gram'}		biomass	True		string			{text};{float} {unit}		biomass type;measurement value	ton, kilogram, gram
