name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
air_PM_concen	air particulate matter concentration	MIXS:0000108		Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM	{'value': 'PM2.5;10 microgram per cubic meter'}		air|concentration|particle|particulate	True		string				{'syntax': '^{particulate_matter_name};{float} {unit}$', 'interpolated': True, 'partial_match': True}		
alt	altitude	MIXS:0000094		Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	{'value': '100 meter'}	environment				string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
barometric_press	barometric pressure	MIXS:0000096		Force per unit area exerted against a surface by the weight of air above that surface	{'value': '5 millibar'}		pressure			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		millibar
carb_dioxide	carbon dioxide	MIXS:0000097		Carbon dioxide (gas) amount or concentration at the time of sampling	{'value': '410 parts per million'}		carbon			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, parts per million
carb_monoxide	carbon monoxide	MIXS:0000098		Carbon monoxide (gas) amount or concentration at the time of sampling	{'value': '0.1 parts per million'}		carbon			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, parts per million
chem_administration	chemical administration	MIXS:0000751		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	{'value': 'agar [CHEBI:2509];2018-05-11T20:00Z'}		administration	True		string			{termLabel} [{termID}];{timestamp}		CHEBI;timestamp	
elev	elevation	MIXS:0000093		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{'value': '100 meter'}	environment	elevation			string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
humidity	humidity	MIXS:0000100		Amount of water vapour in the air, at the time of sampling	{'value': '25 gram per cubic meter'}		humidity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
methane	methane	MIXS:0000101		Methane (gas) amount or concentration at the time of sampling	{'value': '1800 parts per billion'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, parts per billion, parts per million
misc_param	miscellaneous parameter	MIXS:0000752		Any other measurement performed or parameter collected, that is not listed here	{'value': 'Bicarbonate ion concentration;2075 micromole per kilogram'}		parameter	True		string			{text};{float} {unit}		parameter name;measurement value	
organism_count	organism count	MIXS:0000103		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	{'value': 'total prokaryotes;3.5e7 cells per milliliter;qPCR'}		count|organism	True		string			{text};{float} {unit};[ATP|MPN|qPCR|other]		organism name;measurement value;enumeration	
oxy_stat_samp	oxygenation status of sample	MIXS:0000753		Oxygenation status of sample	{'value': 'aerobic'}		oxygen|sample|status			OxyStatSampEnum						
oxygen	oxygen	MIXS:0000104		Oxygen (gas) amount or concentration at the time of sampling	{'value': '600 parts per million'}		oxygen			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per liter, parts per million
perturbation	perturbation	MIXS:0000754		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	{'value': 'antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M'}		perturbation	True		string			{text};{Rn/start_time/end_time/duration}		perturbation type name;perturbation interval and duration	
pollutants	pollutants	MIXS:0000107		Pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant	{'value': 'lead;0.15 microgram per cubic meter'}			True		string			{text};{float} {unit}		pollutant name;measurement value	gram, mole per liter, milligram per liter, microgram per cubic meter
project_name	project name	MIXS:0000092		Name of the project within which the sequencing was organized	{'value': 'Forest soil metagenome'}	investigation	project			string		True				
salinity	salinity	MIXS:0000183		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	{'value': '25 practical salinity unit'}		salinity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		practical salinity unit, percentage
samp_name	sample name	MIXS:0001107		A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name	{'value': 'ISDsoil1'}	investigation	sample			string		True				
samp_store_dur	sample storage duration	MIXS:0000116		Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format	{'value': 'P1Y6M'}		duration|period|sample|storage			string				{'syntax': '^{duration}$', 'interpolated': True, 'partial_match': True}		
samp_store_loc	sample storage location	MIXS:0000755		Location at which sample was stored, usually name of a specific freezer/room	{'value': 'Freezer no:5'}		location|sample|storage			string					location name	
samp_store_temp	sample storage temperature	MIXS:0000110		Temperature at which sample was stored, e.g. -80 degree Celsius	{'value': '-80 degree Celsius'}		sample|storage|temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
samp_vol_we_dna_ext	sample volume or weight for DNA extraction	MIXS:0000111		Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001)	{'value': '1500 milliliter'}	nucleic acid sequence source	dna|sample|volume|weight			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milliliter, gram, milligram, square centimeter
solar_irradiance	solar irradiance	MIXS:0000112		The amount of solar energy that arrives at a specific area of a surface during a specific time interval	{'value': '1.36 kilowatts per square meter per day'}			True		string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		kilowatts per square meter per day, ergs per square centimeter per second
temp	temperature	MIXS:0000113		Temperature of the sample at the time of sampling	{'value': '25 degree Celsius'}	environment	temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
ventilation_rate	ventilation rate	MIXS:0000114		Ventilation rate of the system in the sampled premises	{'value': '750 cubic meter per minute'}		rate			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		cubic meter per minute, liters per second
ventilation_type	ventilation type	MIXS:0000756		Ventilation system used in the sampled premises	{'value': 'Operable windows'}		type	True		string					ventilation type name	
volatile_org_comp	volatile organic compounds	MIXS:0000115		Concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	{'value': 'formaldehyde;500 nanogram per liter'}		organic	True		string			{text};{float} {unit}		volatile organic compound name;measurement value	microgram per cubic meter, parts per million, nanogram per liter
wind_direction	wind direction	MIXS:0000757		Wind direction is the direction from which a wind originates	{'value': 'Northwest'}		direction|wind			string						degrees or cardinal direction
wind_speed	wind speed	MIXS:0000118		speed of wind measured at the time of sampling	{'value': '21 kilometer per hour'}		speed|wind			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
