name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
abs_air_humidity	absolute air humidity	MIXS:0000122	Can be calculated via mass of water vapor divided by the volume of the air and water vapor mixture.	Actual mass of water vapor present in the air water vapor mixture.	{'value': '7 gram per cubic meter'}		absolute|air|humidity			string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram per gram, kilogram per kilogram, kilogram, pound, gram per cubic meter, kilogram per cubic meter, percent
address	address	MIXS:0000218		The street name and building number where the sampling occurred						string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
adj_room	adjacent rooms	MIXS:0000219		List of rooms (room number, room name) immediately adjacent to the sampling room			adjacent|room			string				{'syntax': '^{room_name};{room_number}$', 'interpolated': True, 'partial_match': True}		
aero_struc	aerospace structure	MIXS:0000773		Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together	{'value': 'plane'}					AeroStrucEnum						
air_temp	air temperature	MIXS:0000124		Temperature of the air at the time of sampling	{'value': '20 degree Celsius'}		air|temperature			string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
amount_light	amount of light	MIXS:0000140		The unit of illuminance and luminous emittance, measuring luminous flux per unit area			light			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		lux, lumens per square meter
arch_struc	architectural structure	MIXS:0000774		An architectural structure is a human-made, free-standing, immobile outdoor construction	{'value': 'shed'}					ArchStrucEnum						
avg_dew_point	average dew point	MIXS:0000141		The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	{'value': '25.5 degree Celsius'}		average			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
avg_occup	average daily occupancy	MIXS:0000775		Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room	{'value': '2'}		average			float						
avg_temp	average temperature	MIXS:0000142		The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day	{'value': '12.5 degree Celsius'}		average|temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
bathroom_count	bathroom count	MIXS:0000776		The number of bathrooms in the building	{'value': '1'}		count			integer						
bedroom_count	bedroom count	MIXS:0000777		The number of bedrooms in the building	{'value': '2'}		count			integer						
