name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
alkalinity	alkalinity	MIXS:0000421		Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	{'value': '50 milligram per liter'}		alkalinity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milliequivalent per liter, milligram per liter
alkyl_diethers	alkyl diethers	MIXS:0000490		Concentration of alkyl diethers	{'value': '0.005 mole per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
aminopept_act	aminopeptidase activity	MIXS:0000172		Measurement of aminopeptidase activity	{'value': '0.269 mole per liter per hour'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		mole per liter per hour
ammonium	ammonium	MIXS:0000427		Concentration of ammonium in the sample	{'value': '1.5 milligram per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
bacteria_carb_prod	bacterial carbon production	MIXS:0000173		Measurement of bacterial carbon production	{'value': '2.53 microgram per liter per hour'}		carbon|production			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
biomass	biomass	MIXS:0000174		Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	{'value': 'total;20 gram'}		biomass	True		string			{text};{float} {unit}		biomass type;measurement value	ton, kilogram, gram
bishomohopanol	bishomohopanol	MIXS:0000175		Concentration of bishomohopanol	{'value': '14 microgram per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		microgram per liter, microgram per gram
bromide	bromide	MIXS:0000176		Concentration of bromide	{'value': '0.05 parts per million'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		parts per million
calcium	calcium	MIXS:0000432		Concentration of calcium in the sample	{'value': '0.2 micromole per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per liter, micromole per liter, parts per million
carb_nitro_ratio	carbon/nitrogen ratio	MIXS:0000310		Ratio of amount or concentrations of carbon to nitrogen	{'value': '0.417361111'}		carbon|nitrogen|ratio			float			{float}:{float}		measurement value	
chem_administration	chemical administration	MIXS:0000751		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	{'value': 'agar [CHEBI:2509];2018-05-11T20:00Z'}		administration	True		string			{termLabel} [{termID}];{timestamp}		CHEBI;timestamp	
chloride	chloride	MIXS:0000429		Concentration of chloride in the sample	{'value': '5000 milligram per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per liter, parts per million
chlorophyll	chlorophyll	MIXS:0000177		Concentration of chlorophyll	{'value': '5 milligram per cubic meter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per cubic meter, microgram per liter
density	density	MIXS:0000435		Density of the sample, which is its mass per unit volume (aka volumetric mass density)	{'value': '1000 kilogram per cubic meter'}		density			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram per cubic meter, gram per cubic centimeter
depth	depth	MIXS:0000018		The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples	{'value': '10 meter'}	environment	depth			string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
diether_lipids	diether lipids	MIXS:0000178		Concentration of diether lipids; can include multiple types of diether lipids	{'value': '0.2 nanogram per liter'}			True		string			{text};{float} {unit}		diether lipid name;measurement value	nanogram per liter
diss_carb_dioxide	dissolved carbon dioxide	MIXS:0000436		Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	{'value': '5 milligram per liter'}		carbon|dissolved			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter
diss_hydrogen	dissolved hydrogen	MIXS:0000179		Concentration of dissolved hydrogen	{'value': '0.3 micromole per liter'}		dissolved			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter
diss_inorg_carb	dissolved inorganic carbon	MIXS:0000434		Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter	{'value': '2059 micromole per kilogram'}		carbon|dissolved|inorganic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		microgram per liter, milligram per liter, parts per million
diss_org_carb	dissolved organic carbon	MIXS:0000433		Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid	{'value': '197 micromole per liter'}		carbon|dissolved|organic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter
diss_org_nitro	dissolved organic nitrogen	MIXS:0000162		Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	{'value': '0.05 micromole per liter'}		dissolved|nitrogen|organic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
diss_oxygen	dissolved oxygen	MIXS:0000119		Concentration of dissolved oxygen	{'value': '175 micromole per kilogram'}		dissolved|oxygen			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per kilogram, milligram per liter
elev	elevation	MIXS:0000093		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{'value': '100 meter'}	environment	elevation			string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
glucosidase_act	glucosidase activity	MIXS:0000137		Measurement of glucosidase activity	{'value': '5 mol per liter per hour'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		mol per liter per hour
magnesium	magnesium	MIXS:0000431		Concentration of magnesium in the sample	{'value': '52.8 micromole per kilogram'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		mole per liter, milligram per liter, parts per million, micromole per kilogram
