name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
agrochem_addition	history/agrochemical additions	MIXS:0000639		Addition of fertilizers, pesticides, etc. - amount and time of applications	{'value': 'roundup;5 milligram per liter;2018-06-21'}		history	True		string				{'syntax': '^{agrochemical_name};{amount} {unit};{date_time_stamp}$', 'interpolated': True, 'partial_match': True}		gram, mole per liter, milligram per liter
al_sat	extreme_unusual_properties/Al saturation	MIXS:0000607		Aluminum saturation (esp. For tropical soils)			extreme|properties|saturation|unusual			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		percentage
al_sat_meth	extreme_unusual_properties/Al saturation method	MIXS:0000324		Reference or method used in determining Al saturation			extreme|method|properties|saturation|unusual			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
annual_precpt	mean annual precipitation	MIXS:0000644		The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps			mean			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		millimeter
annual_temp	mean annual temperature	MIXS:0000642		Mean annual temperature	{'value': '12.5 degree Celsius'}		mean|temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
crop_rotation	history/crop rotation	MIXS:0000318		Whether or not crop is rotated, and if yes, rotation schedule	{'value': 'yes;R2/2017-01-01/2018-12-31/P6M'}		history			string			{boolean};{Rn/start_time/end_time/duration}		crop rotation status;schedule	
cur_land_use	current land use	MIXS:0001080		Present state of sample site	{'value': 'conifers'}		land|use			string			[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]		enumeration	
cur_vegetation	current vegetation	MIXS:0000312		Vegetation classification from one or more standard classification systems, or agricultural crop			vegetation			string					current vegetation type	
cur_vegetation_meth	current vegetation method	MIXS:0000314		Reference or method used in vegetation classification			method|vegetation			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
depth	depth	MIXS:0000018		The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples	{'value': '10 meter'}	environment	depth			string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
drainage_class	drainage classification	MIXS:0001085		Drainage classification from a standard system such as the USDA system	{'value': 'well'}		classification			DrainageClassEnum						
elev	elevation	MIXS:0000093		Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{'value': '100 meter'}	environment	elevation			string		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
extreme_event	history/extreme events	MIXS:0000320		Unusual physical events that may have affected microbial populations			event|history			datetime						
fao_class	soil_taxonomic/FAO classification	MIXS:0001083		Soil classification from the FAO World soil distribution from International Soil Reference and Information Centre (ISRIC). The list of available soil classifications can be found at https://www.isric.org/explore/world-soil-distribution	{'value': 'Luvisols'}		classification			FaoClassEnum						
fire	history/fire	MIXS:0001086		Historical and/or physical evidence of fire			history			datetime						
flooding	history/flooding	MIXS:0000319		Historical and/or physical evidence of flooding			history			datetime						
heavy_metals	extreme_unusual_properties/heavy metals	MIXS:0000652		Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field	{'value': 'mercury;0.09 micrograms per gram'}		extreme|properties|unusual	True		string			{text};{float} {unit}		heavy metal name;measurement value unit	microgram per gram
heavy_metals_meth	extreme_unusual_properties/heavy metals method	MIXS:0000343		Reference or method used in determining heavy metals			extreme|method|properties|unusual			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': False}		
horizon_meth	horizon method	MIXS:0000321		Reference or method used in determining the horizon			horizon|method			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
link_addit_analys	links to additional analysis	MIXS:0000340		Link to additional analysis results performed on the sample			link			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
link_class_info	link to classification information	MIXS:0000329		Link to digitized soil maps or other soil classification information			classification|information|link			string			{termLabel} [{termID}]		PMID,DOI or url	
link_climate_info	link to climate information	MIXS:0000328		Link to climate resource			information|link			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
local_class	soil_taxonomic/local classification	MIXS:0000330		Soil classification based on local soil classification system			classification			string					local classification name	
local_class_meth	soil_taxonomic/local classification method	MIXS:0000331		Reference or method used in determining the local soil classification			classification|method			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
micro_biomass_meth	microbial biomass method	MIXS:0000339	slot name/scn was microbial_biomass_meth	Reference or method used in determining microbial biomass	{'value': 'http://dx.doi.org/10.1016/j.soilbio.2005.01.021'}		biomass|method|microbial			string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
microbial_biomass	microbial biomass	MIXS:0000650		The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units			biomass|microbial			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		ton, kilogram, gram per kilogram soil
