class	class_uri	description	is_a	mixins
> class	class_uri	description	is_a	mixins
>				"internal_separator: ""|"""
migs_ba_agriculture		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package agriculture	agriculture	migs_ba
migs_eu_agriculture		Minimal Information about a Genome Sequence: eukaryote with environmental package agriculture	agriculture	migs_eu
migs_org_agriculture		Minimal Information about a Genome Sequence: org with environmental package agriculture	agriculture	migs_org
migs_pl_agriculture		Minimal Information about a Genome Sequence: plant with environmental package agriculture	agriculture	migs_pl
migs_vi_agriculture		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package agriculture	agriculture	migs_vi
mimag_agriculture		Minimum Information About a Metagenome-Assembled Genome with environmental package agriculture	agriculture	mimag
mimarks_c_agriculture		Minimal Information about a Marker Specimen: specimen with environmental package agriculture	agriculture	mimarks_c
mimarks_s_agriculture		Minimal Information about a Marker Specimen: survey with environmental package agriculture	agriculture	mimarks_s
mims_agriculture		Metagenome or Environmental with environmental package agriculture	agriculture	mims
misag_agriculture		Minimum Information About a Single Amplified Genome with environmental package agriculture	agriculture	misag
miuvig_agriculture		Minimum Information About an Uncultivated Virus Genome with environmental package agriculture	agriculture	miuvig
migs_ba_air		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package air	air	migs_ba
migs_eu_air		Minimal Information about a Genome Sequence: eukaryote with environmental package air	air	migs_eu
migs_org_air		Minimal Information about a Genome Sequence: org with environmental package air	air	migs_org
migs_pl_air		Minimal Information about a Genome Sequence: plant with environmental package air	air	migs_pl
migs_vi_air		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package air	air	migs_vi
mimag_air		Minimum Information About a Metagenome-Assembled Genome with environmental package air	air	mimag
mimarks_c_air		Minimal Information about a Marker Specimen: specimen with environmental package air	air	mimarks_c
mimarks_s_air		Minimal Information about a Marker Specimen: survey with environmental package air	air	mimarks_s
mims_air		Metagenome or Environmental with environmental package air	air	mims
misag_air		Minimum Information About a Single Amplified Genome with environmental package air	air	misag
miuvig_air		Minimum Information About an Uncultivated Virus Genome with environmental package air	air	miuvig
migs_ba_built environment		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package built environment	built environment	migs_ba
migs_eu_built environment		Minimal Information about a Genome Sequence: eukaryote with environmental package built environment	built environment	migs_eu
migs_org_built environment		Minimal Information about a Genome Sequence: org with environmental package built environment	built environment	migs_org
migs_pl_built environment		Minimal Information about a Genome Sequence: plant with environmental package built environment	built environment	migs_pl
migs_vi_built environment		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package built environment	built environment	migs_vi
mimag_built environment		Minimum Information About a Metagenome-Assembled Genome with environmental package built environment	built environment	mimag
mimarks_c_built environment		Minimal Information about a Marker Specimen: specimen with environmental package built environment	built environment	mimarks_c
mimarks_s_built environment		Minimal Information about a Marker Specimen: survey with environmental package built environment	built environment	mimarks_s
mims_built environment		Metagenome or Environmental with environmental package built environment	built environment	mims
misag_built environment		Minimum Information About a Single Amplified Genome with environmental package built environment	built environment	misag
miuvig_built environment		Minimum Information About an Uncultivated Virus Genome with environmental package built environment	built environment	miuvig
migs_ba_food-animal and animal feed		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package food-animal and animal feed	food-animal and animal feed	migs_ba
migs_eu_food-animal and animal feed		Minimal Information about a Genome Sequence: eukaryote with environmental package food-animal and animal feed	food-animal and animal feed	migs_eu
migs_org_food-animal and animal feed		Minimal Information about a Genome Sequence: org with environmental package food-animal and animal feed	food-animal and animal feed	migs_org
migs_pl_food-animal and animal feed		Minimal Information about a Genome Sequence: plant with environmental package food-animal and animal feed	food-animal and animal feed	migs_pl
migs_vi_food-animal and animal feed		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package food-animal and animal feed	food-animal and animal feed	migs_vi
mimag_food-animal and animal feed		Minimum Information About a Metagenome-Assembled Genome with environmental package food-animal and animal feed	food-animal and animal feed	mimag
mimarks_c_food-animal and animal feed		Minimal Information about a Marker Specimen: specimen with environmental package food-animal and animal feed	food-animal and animal feed	mimarks_c
mimarks_s_food-animal and animal feed		Minimal Information about a Marker Specimen: survey with environmental package food-animal and animal feed	food-animal and animal feed	mimarks_s
mims_food-animal and animal feed		Metagenome or Environmental with environmental package food-animal and animal feed	food-animal and animal feed	mims
misag_food-animal and animal feed		Minimum Information About a Single Amplified Genome with environmental package food-animal and animal feed	food-animal and animal feed	misag
miuvig_food-animal and animal feed		Minimum Information About an Uncultivated Virus Genome with environmental package food-animal and animal feed	food-animal and animal feed	miuvig
migs_ba_food-farm environment		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package food-farm environment	food-farm environment	migs_ba
migs_eu_food-farm environment		Minimal Information about a Genome Sequence: eukaryote with environmental package food-farm environment	food-farm environment	migs_eu
migs_org_food-farm environment		Minimal Information about a Genome Sequence: org with environmental package food-farm environment	food-farm environment	migs_org
migs_pl_food-farm environment		Minimal Information about a Genome Sequence: plant with environmental package food-farm environment	food-farm environment	migs_pl
