samp_name	samp_taxon_id	geo_loc_name	tissue_type	host_life_stage	host_age	host_sex	env_broad_scale	env_local_scale	lat_lon	isol_growth_condt	collection_date	env_medium	seq_meth	assembly_qual	assembly_software	number_contig	project_name
SAMN26279940	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN26278492	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981015 _1	113540	China: Guangdong province, China	testis [UBERON:0000473]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981015 _2	113540	China: Guangdong province, China	testis [UBERON:0000473]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981015 _3	113540	China: Guangdong province, China	testis [UBERON:0000473]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29974749_1	113540	China: Guangdong province, China	ovary [UBERON:000099]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29974749_2	113540	China: Guangdong province, China	ovary [UBERON:000099]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29974749_3	113540	China: Guangdong province, China	ovary [UBERON:000099]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_1	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_2	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_3	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_4	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_5	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_6	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_7	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
