source	schema name	rule name	level	message
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'migs_ba' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'migs_eu' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'migs_org' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'migs_pl' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'migs_vi' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'mimag' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'mimarks_c' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'mimarks_s' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'mims' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'misag' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	no_empty_title	warning	Class 'miuvig' has no title
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'migs_ba' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'migs_eu' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'migs_org' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'migs_pl' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'migs_vi' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'mimag' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'mimarks_c' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'mimarks_s' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'mims' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'misag' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	recommended	warning	Class 'miuvig' does not have recommended slot 'description'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'migs_ba'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'migs_eu'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'migs_org'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'migs_pl'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'migs_vi'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'mimag'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'mimarks_c'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'mimarks_s'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'mims'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'misag'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Class has name 'miuvig'
/Users/MAM/Documents/gitrepos/mixs/schemasheets/yaml_output/mixs_core_reshaped.yaml	MIXS	standard_naming	warning	Slot has name 'associated resource'

