SAFE checklist	checklist	MIXS ID	aliases	from_schema	is_a	mixin	see_also	title	description
> class	annotations	class_uri	aliases	ignore	is_a	mixin	see_also	title	description
>	inner_key: legacy_checklist_name								
MigsBa	migs_ba	MIXS:0010003			ChecklistClass	TRUE		migs_ba	
MigsEu	migs_eu	MIXS:0010002			ChecklistClass	TRUE		migs_eu	
MigsOrg	migs_org	MIXS:0010006			ChecklistClass	TRUE		migs_org	
MigsPl	migs_pl	MIXS:0010004			ChecklistClass	TRUE		migs_pl	
MigsVi	migs_vi	MIXS:0010005			ChecklistClass	TRUE		migs_vi	
Mimag	mimag	MIXS:0010011			ChecklistClass	TRUE		mimag	
MimarksC	mimarks_c	MIXS:0010009			ChecklistClass	TRUE		mimarks_c	
MimarksS	mimarks_s	MIXS:0010008			ChecklistClass	TRUE		mimarks_s	
Misag	misag	MIXS:0010010			ChecklistClass	TRUE		misag	
Miuvig	miuvig	MIXS:0010012			ChecklistClass	TRUE		miuvig	
ChecklistClass								MIxS Checklist	"A class with slots assigned for the required, recommended, and optional metadata fields for a specific type sequence, such as genomes, metagenomes, or marker genes. The migs class, which models genomic sequences, is subdivided into checklists for specific taxa: eukaryotes, bacteria, viruses, and plants."
Mims	mims	MIXS:0010007			ChecklistClass			mims	
