checklist	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
> class	slot	examples	annotations	annotations	cardinality	recommended	annotations
>		"internal_separator: ""|"""	inner_key: mixs_requirement_code	inner_key: cardinality_code			inner_key: github_ticket
MigsBa	x_16s_recover		-	-	-		
MigsEu	x_16s_recover		-	-	-		
MigsOrg	x_16s_recover		-	-	-		
MigsPl	x_16s_recover		-	-	-		
MigsVi	x_16s_recover		-	-	-		
Mimag	x_16s_recover		X	O	O		
MimarksC	x_16s_recover		-	-	-		
MimarksS	x_16s_recover		-	-	-		
Mims	x_16s_recover		-	-	-		
Misag	x_16s_recover		X	O	O		
Miuvig	x_16s_recover		-	-	-		
MigsBa	x_16s_recover_software		-	-	-		
MigsEu	x_16s_recover_software		-	-	-		
MigsOrg	x_16s_recover_software		-	-	-		
MigsPl	x_16s_recover_software		-	-	-		
MigsVi	x_16s_recover_software		-	-	-		
Mimag	x_16s_recover_software		X	O	O		
MimarksC	x_16s_recover_software		-	-	-		
MimarksS	x_16s_recover_software		-	-	-		
Mims	x_16s_recover_software		-	-	-		
Misag	x_16s_recover_software		X	O	O		
Miuvig	x_16s_recover_software		-	-	-		
MigsBa	adapters		C	EM		TRUE	
MigsEu	adapters		C	EM		TRUE	
MigsOrg	adapters		C	EM		TRUE	
MigsPl	adapters		C	EM		TRUE	
MigsVi	adapters		C	EM		TRUE	
Mimag	adapters		C	EM		TRUE	
MimarksC	adapters		-	-	-		
MimarksS	adapters		C	EM		TRUE	
Mims	adapters		C	EM		TRUE	
Misag	adapters		C	EM		TRUE	
Miuvig	adapters		C	EM		TRUE	
MigsBa	alt		E	E+		TRUE	
MigsEu	alt		E	E+		TRUE	
MigsOrg	alt		E	E+		TRUE	
MigsPl	alt		E	E+		TRUE	
MigsVi	alt		E	E+		TRUE	
Mimag	alt		E	E+		TRUE	
MimarksC	alt		E	E+		TRUE	
MimarksS	alt		E	E+		TRUE	
Mims	alt		E	E+		TRUE	
Misag	alt		E	E+		TRUE	
Miuvig	alt		E	E+		TRUE	
MigsBa	annot		C	EM		TRUE	
MigsEu	annot		C	EM		TRUE	
MigsOrg	annot		C	EM		TRUE	
MigsPl	annot		C	EM		TRUE	
MigsVi	annot		C	EM		TRUE	
Mimag	annot		X	O	O		
MimarksC	annot		-	-	-		
MimarksS	annot		-	-	-		
Mims	annot		C	EM		TRUE	
Misag	annot		X	O	O		
Miuvig	annot		X	O	O		
MigsBa	assembly_name		C	EM		TRUE	
MigsEu	assembly_name		C	EM		TRUE	
MigsOrg	assembly_name		C	EM		TRUE	
MigsPl	assembly_name		C	EM		TRUE	
MigsVi	assembly_name		C	EM		TRUE	
Mimag	assembly_name		C	EM		TRUE	
MimarksC	assembly_name		-	-	-		
MimarksS	assembly_name		-	-	-		
Mims	assembly_name		C	EM		TRUE	
Misag	assembly_name		C	EM		TRUE	
Miuvig	assembly_name		C	EM		TRUE	
MigsBa	assembly_qual		M	M	M		
MigsEu	assembly_qual		M	M	M		
MigsOrg	assembly_qual		X	O	O		
MigsPl	assembly_qual		X	O	O		
MigsVi	assembly_qual		X	O	O		
Mimag	assembly_qual		M	M	M		
MimarksC	assembly_qual		-	-	-		
MimarksS	assembly_qual		-	-	-		
Mims	assembly_qual		C	EM		TRUE	
Misag	assembly_qual		M	M	M		
Miuvig	assembly_qual		M	M	M		
MigsBa	assembly_software		M	M	M		
MigsEu	assembly_software		M	M	M		
MigsOrg	assembly_software		M	M	M		
MigsPl	assembly_software		M	M	M		
MigsVi	assembly_software		M	M	M		
Mimag	assembly_software		M	M	M		
MimarksC	assembly_software		-	-	-		
MimarksS	assembly_software		C	EM		TRUE	
Mims	assembly_software		C	EM		TRUE	
Misag	assembly_software		M	M	M		
Miuvig	assembly_software		M	M	M		
MigsBa	associated_resource		C	EM		TRUE	
MigsEu	associated_resource		C	EM		TRUE	
MigsOrg	associated_resource		C	EM		TRUE	
MigsPl	associated_resource		C	EM		TRUE	
MigsVi	associated_resource		C	EM		TRUE	
Mimag	associated_resource		C	EM		TRUE	
MimarksC	associated_resource		C	EM		TRUE	
MimarksS	associated_resource		C	EM		TRUE	
Mims	associated_resource		C	EM		TRUE	
Misag	associated_resource		C	EM		TRUE	
Miuvig	associated_resource		C	EM		TRUE	
MigsBa	bin_param		-	-	-		
MigsEu	bin_param		-	-	-		
MigsOrg	bin_param		-	-	-		
MigsPl	bin_param		-	-	-		
MigsVi	bin_param		-	-	-		
Mimag	bin_param		M	M	M		
MimarksC	bin_param		-	-	-		
MimarksS	bin_param		-	-	-		
Mims	bin_param		-	-	-		
Misag	bin_param		-	-	-		
Miuvig	bin_param		C	EM		TRUE	
MigsBa	bin_software		-	-	-		
MigsEu	bin_software		-	-	-		
MigsOrg	bin_software		-	-	-		
MigsPl	bin_software		-	-	-		
MigsVi	bin_software		-	-	-		
Mimag	bin_software		M	M	M		
MimarksC	bin_software		-	-	-		
MimarksS	bin_software		-	-	-		
Mims	bin_software		-	-	-		
Misag	bin_software		-	-	-		
Miuvig	bin_software		C	EM		TRUE	
MigsBa	biotic_relationship		C	EM		TRUE	
MigsEu	biotic_relationship		X	O	O		
MigsOrg	biotic_relationship		-	-	-		
MigsPl	biotic_relationship		-	-	-		
MigsVi	biotic_relationship		X	O	O		
Mimag	biotic_relationship		-	-	-		
MimarksC	biotic_relationship		C	EM		TRUE	
MimarksS	biotic_relationship		-	-	-		
Mims	biotic_relationship		-	-	-		
Misag	biotic_relationship		-	-	-		
Miuvig	biotic_relationship		X	O	O		
MigsBa	chimera_check		-	-	-		
MigsEu	chimera_check		-	-	-		
MigsOrg	chimera_check		-	-	-		
MigsPl	chimera_check		-	-	-		
MigsVi	chimera_check		-	-	-		
Mimag	chimera_check		-	-	-		
MimarksC	chimera_check		C	EM		TRUE	
MimarksS	chimera_check		C	EM		TRUE	
Mims	chimera_check		-	-	-		
Misag	chimera_check		-	-	-		
Miuvig	chimera_check		-	-	-		
MigsBa	collection_date		M	M	M		
MigsEu	collection_date		M	M	M		
MigsOrg	collection_date		M	M	M		
MigsPl	collection_date		M	M	M		
MigsVi	collection_date		M	M	M		
Mimag	collection_date		M	M	M		
MimarksC	collection_date		M	M	M		
MimarksS	collection_date		M	M	M		
Mims	collection_date		M	M	M		
Misag	collection_date		M	M	M		
Miuvig	collection_date		M	M	M		
MigsBa	compl_appr		-	-	-		
MigsEu	compl_appr		-	-	-		
MigsOrg	compl_appr		-	-	-		
MigsPl	compl_appr		-	-	-		
MigsVi	compl_appr		-	-	-		
Mimag	compl_appr		X	O	O		
MimarksC	compl_appr		-	-	-		
MimarksS	compl_appr		-	-	-		
Mims	compl_appr		-	-	-		
Misag	compl_appr		X	O	O		
Miuvig	compl_appr		C	EM		TRUE	
MigsBa	compl_score		X	O	O		
MigsEu	compl_score		X	O	O		
MigsOrg	compl_score		X	O	O		
MigsPl	compl_score		X	O	O		
MigsVi	compl_score		X	O	O		
Mimag	compl_score		M	M	M		
MimarksC	compl_score		-	-	-		
MimarksS	compl_score		-	-	-		
Mims	compl_score		-	-	-		
Misag	compl_score		M	M	M		
Miuvig	compl_score		C	EM		TRUE	
MigsBa	compl_software		X	O	O		
