SAFE Structured comment name	Package item	Structured comment name	Expected value	Value syntax	range	Example	Section	Preferred unit	Occurrence	MIXS ID	MIGS ID (mapping to GOLD)	Definition
> slot	title	annotations	annotations	annotations	range	examples	slot_group	annotations	multivalued	slot_uri	annotations	description
>		inner_key: structured_comment_name	inner_key: expected_value	inner_key: value_syntax		"internal_separator: ""|"""		inner_key: preferred_unit	"vmap: {1: false, ""m"": true}"		inner_key: migs_id	
fao_class	soil_taxonomic/FAO classification	fao_class	enumeration	[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols]					1	MIXS:0001083		Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups
tillage	history/tillage	tillage	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]					m	MIXS:0001081		Note method(s) used for tilling
sieving	composite design/sieving	sieving	design name and/or size;amount	{{text}|{float} {unit}};{float} {unit}					1	MIXS:0000322		Collection design of pooled samples and/or sieve size and amount of sample sieved
pool_dna_extracts	pooling of DNA extracts (if done)	pool_dna_extracts	pooling status;number of pooled extracts	{boolean};{integer}					1	MIXS:0000325		"Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given"
crop_rotation	history/crop rotation	crop_rotation	crop rotation status;schedule	{boolean};{Rn/start_time/end_time/duration}					1	MIXS:0000318		"Whether or not crop is rotated, and if yes, rotation schedule"
ph	pH	ph	measurement value	{float}	float				1	MIXS:0001001		"Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid"
water_content	water content	water_content	measurement value	{float}	float			gram per gram or cubic centimeter per cubic centimeter	1	MIXS:0000185		Water content measurement
org_matter	organic matter	org_matter	measurement value	{float} {unit}				microgram per liter	1	MIXS:0000204		Concentration of organic matter
org_nitro	organic nitrogen	org_nitro	measurement value	{float} {unit}				microgram per liter	1	MIXS:0000205		Concentration of organic nitrogen
samp_vol_we_dna_ext	sample volume or weight for DNA extraction	samp_vol_we_dna_ext	measurement value	{float} {unit}				"millliter, gram, milligram, square centimeter"	1	MIXS:0000111		Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).
season_precpt	mean seasonal precipitation	season_precpt	measurement value	{float} {unit}				millimeter	1	MIXS:0000645		"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."
season_temp	mean seasonal temperature	season_temp	measurement value	{float} {unit}				degree Celsius	1	MIXS:0000643		Mean seasonal temperature
soil_text_measure	soil texture measurement	soil_text_measure	measurement value	{float} {unit}					1	MIXS:0000335		"The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional."
tot_nitro_content	total nitrogen content	tot_nitro_content	measurement value	{float} {unit}				"microgram per liter, micromole per liter, milligram per liter"	1	MIXS:0000530		Total nitrogen content of the sample
tot_org_carb	total organic carbon	tot_org_carb	measurement value	{float} {unit}				gram Carbon per kilogram sample material	1	MIXS:0000533		"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"
cur_vegetation_meth	current vegetation method	cur_vegetation_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000314		Reference or method used in vegetation classification
heavy_metals_meth	extreme_unusual_properties/heavy metals method	heavy_metals_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000343		Reference or method used in determining heavy metals
horizon_meth	soil horizon method	horizon_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000321		Reference or method used in determining the horizon
