class	Structured comment name	Requirement	schemasheets cardinality	cardinality	recommended	in_subset	github ticket	Example
> class	slot	annotations	annotations	cardinality	recommended	in_subset	annotations	examples
>		inner_key: mixs_requirement_code	inner_key: cardinality_code			"internal_separator: ""|"""	inner_key: github_ticket	"internal_separator: ""|"""
MigsBa	x_16s_recover	-	-	-		core_tab		
MigsEu	x_16s_recover	-	-	-		core_tab		
MigsOrg	x_16s_recover	-	-	-		core_tab		
MigsPl	x_16s_recover	-	-	-		core_tab		
MigsVi	x_16s_recover	-	-	-		core_tab		
Mimag	x_16s_recover	X	O	O		core_tab		
MimarksC	x_16s_recover	-	-	-		core_tab		
MimarksS	x_16s_recover	-	-	-		core_tab		
Mims	x_16s_recover	-	-	-		core_tab		
Misag	x_16s_recover	X	O	O		core_tab		
Miuvig	x_16s_recover	-	-	-		core_tab		
MigsBa	x_16s_recover_software	-	-	-		core_tab		
MigsEu	x_16s_recover_software	-	-	-		core_tab		
MigsOrg	x_16s_recover_software	-	-	-		core_tab		
MigsPl	x_16s_recover_software	-	-	-		core_tab		
MigsVi	x_16s_recover_software	-	-	-		core_tab		
Mimag	x_16s_recover_software	X	O	O		core_tab		
MimarksC	x_16s_recover_software	-	-	-		core_tab		
MimarksS	x_16s_recover_software	-	-	-		core_tab		
Mims	x_16s_recover_software	-	-	-		core_tab		
Misag	x_16s_recover_software	X	O	O		core_tab		
Miuvig	x_16s_recover_software	-	-	-		core_tab		
MigsBa	adapters	C	EM		TRUE	core_tab		
MigsEu	adapters	C	EM		TRUE	core_tab		
MigsOrg	adapters	C	EM		TRUE	core_tab		
MigsPl	adapters	C	EM		TRUE	core_tab		
MigsVi	adapters	C	EM		TRUE	core_tab		
Mimag	adapters	C	EM		TRUE	core_tab		
MimarksC	adapters	-	-	-		core_tab		
MimarksS	adapters	C	EM		TRUE	core_tab		
Mims	adapters	C	EM		TRUE	core_tab		
Misag	adapters	C	EM		TRUE	core_tab		
Miuvig	adapters	C	EM		TRUE	core_tab		
MigsBa	alt	E	E+		TRUE	core_tab		
MigsEu	alt	E	E+		TRUE	core_tab		
MigsOrg	alt	E	E+		TRUE	core_tab		
MigsPl	alt	E	E+		TRUE	core_tab		
MigsVi	alt	E	E+		TRUE	core_tab		
Mimag	alt	E	E+		TRUE	core_tab		
MimarksC	alt	E	E+		TRUE	core_tab		
MimarksS	alt	E	E+		TRUE	core_tab		
Mims	alt	E	E+		TRUE	core_tab		
Misag	alt	E	E+		TRUE	core_tab		
Miuvig	alt	E	E+		TRUE	core_tab		
MigsBa	annot	C	EM		TRUE	core_tab		
MigsEu	annot	C	EM		TRUE	core_tab		
MigsOrg	annot	C	EM		TRUE	core_tab		
MigsPl	annot	C	EM		TRUE	core_tab		
MigsVi	annot	C	EM		TRUE	core_tab		
Mimag	annot	X	O	O		core_tab		
MimarksC	annot	-	-	-		core_tab		
MimarksS	annot	-	-	-		core_tab		
Mims	annot	C	EM		TRUE	core_tab		
Misag	annot	X	O	O		core_tab		
Miuvig	annot	X	O	O		core_tab		
MigsBa	assembly_name	C	EM		TRUE	core_tab		
MigsEu	assembly_name	C	EM		TRUE	core_tab		
MigsOrg	assembly_name	C	EM		TRUE	core_tab		
MigsPl	assembly_name	C	EM		TRUE	core_tab		
MigsVi	assembly_name	C	EM		TRUE	core_tab		
Mimag	assembly_name	C	EM		TRUE	core_tab		
MimarksC	assembly_name	-	-	-		core_tab		
MimarksS	assembly_name	-	-	-		core_tab		
Mims	assembly_name	C	EM		TRUE	core_tab		
Misag	assembly_name	C	EM		TRUE	core_tab		
Miuvig	assembly_name	C	EM		TRUE	core_tab		
MigsBa	assembly_qual	M	M	M		core_tab		
MigsEu	assembly_qual	M	M	M		core_tab		
MigsOrg	assembly_qual	X	O	O		core_tab		
MigsPl	assembly_qual	X	O	O		core_tab		
MigsVi	assembly_qual	X	O	O		core_tab		
Mimag	assembly_qual	M	M	M		core_tab		
MimarksC	assembly_qual	-	-	-		core_tab		
MimarksS	assembly_qual	-	-	-		core_tab		
Mims	assembly_qual	C	EM		TRUE	core_tab		
Misag	assembly_qual	M	M	M		core_tab		
Miuvig	assembly_qual	M	M	M		core_tab		
MigsBa	assembly_software	M	M	M		core_tab		
MigsEu	assembly_software	M	M	M		core_tab		
MigsOrg	assembly_software	M	M	M		core_tab		
MigsPl	assembly_software	M	M	M		core_tab		
MigsVi	assembly_software	M	M	M		core_tab		
Mimag	assembly_software	M	M	M		core_tab		
MimarksC	assembly_software	-	-	-		core_tab		
MimarksS	assembly_software	C	EM		TRUE	core_tab		
Mims	assembly_software	C	EM		TRUE	core_tab		
Misag	assembly_software	M	M	M		core_tab		
