enum	permissible_values	suspect	single
> slot_enum	annotations	True	True
>_enum	inner_key: value_syntax	True	True
assembly_qual_enum	Finished genome	True	False
assembly_qual_enum	Genome fragment(s)	True	False
assembly_qual_enum	High-quality draft genome	True	False
assembly_qual_enum	Low-quality draft genome	True	False
assembly_qual_enum	Medium-quality draft genome	True	False
bin_param_enum	codon usage	False	False
bin_param_enum	combination	False	False
bin_param_enum	coverage	False	False
bin_param_enum	homology search	False	False
bin_param_enum	kmer	False	False
biotic_relationship_enum	commensalism	False	False
biotic_relationship_enum	free living	False	False
biotic_relationship_enum	mutualism	False	False
biotic_relationship_enum	parasitism	False	False
biotic_relationship_enum	symbiotic	False	False
reassembly_bin_enum	{boolean}	True	True
x_16s_recover_enum	{boolean}	True	True
compl_appr_enum	marker gene	False	False
compl_appr_enum	other	False	False
compl_appr_enum	reference based	False	False
contam_screen_input_enum	contigs	False	False
contam_screen_input_enum	reads	False	False
decontam_software_enum	acdc	True	False
decontam_software_enum	anvi'o	True	False
decontam_software_enum	bbtools:decontaminate.sh	True	False
decontam_software_enum	checkm/refinem	True	False
decontam_software_enum	combination	True	False
decontam_software_enum	prodege	True	False
detec_type_enum	independent sequence (UViG)	True	False
detec_type_enum	provirus (UpViG)	True	False
host_pred_appr_enum	CRISPR spacer match	False	False
host_pred_appr_enum	co-occurrence	False	False
host_pred_appr_enum	combination	False	False
host_pred_appr_enum	host sequence similarity	False	False
host_pred_appr_enum	kmer similarity	False	False
host_pred_appr_enum	other	False	False
host_pred_appr_enum	provirus	False	False
extrachrom_elements_enum	{integer}	True	True
host_spec_range_enum	{integer}	True	True
lib_reads_seqd_enum	{integer}	True	True
lib_size_enum	{integer}	True	True
num_replicons_enum	{integer}	True	True
number_contig_enum	{integer}	True	True
trnas_enum	{integer}	True	True
lib_layout_enum	other	False	False
lib_layout_enum	paired	False	False
lib_layout_enum	single	False	False
lib_layout_enum	vector	False	False
mag_cov_software_enum	bbmap	False	False
mag_cov_software_enum	bowtie	False	False
mag_cov_software_enum	bwa	False	False
mag_cov_software_enum	other	False	False
neg_cont_type_enum	DNA-free PCR mix	False	False
neg_cont_type_enum	distilled water	False	False
neg_cont_type_enum	empty collection device	False	False
neg_cont_type_enum	empty collection tube	False	False
neg_cont_type_enum	phosphate buffer	False	False
neg_cont_type_enum	sterile swab	False	False
neg_cont_type_enum	sterile syringe	False	False
pred_genome_struc_enum	non-segmented	False	False
pred_genome_struc_enum	segmented	False	False
pred_genome_struc_enum	undetermined	False	False
rel_to_oxygen_enum	aerobe	False	False
rel_to_oxygen_enum	anaerobe	False	False
rel_to_oxygen_enum	facultative	False	False
rel_to_oxygen_enum	microaerophilic	False	False
rel_to_oxygen_enum	microanaerobe	False	False
rel_to_oxygen_enum	obligate aerobe	False	False
rel_to_oxygen_enum	obligate anaerobe	False	False
seq_quality_check_enum	manually edited	False	False
seq_quality_check_enum	none	False	False
single_cell_lysis_appr_enum	chemical	False	False
single_cell_lysis_appr_enum	combination	False	False
single_cell_lysis_appr_enum	enzymatic	False	False
single_cell_lysis_appr_enum	physical	False	False
sort_tech_enum	flow cytometric cell sorting	False	False
sort_tech_enum	lazer-tweezing	False	False
sort_tech_enum	microfluidics	False	False
sort_tech_enum	micromanipulation	False	False
sort_tech_enum	optical manipulation	False	False
sort_tech_enum	other	False	False
source_uvig_enum	isolate microbial genome	True	False
source_uvig_enum	metagenome (not viral targeted)	True	False
source_uvig_enum	metatranscriptome (not viral targeted)	True	False
source_uvig_enum	microbial single amplified genome (SAG)	True	False
source_uvig_enum	other	True	False
source_uvig_enum	sequence-targeted RNA metagenome	True	False
source_uvig_enum	sequence-targeted metagenome	True	False
