SAFE checklist	checklist	MIXS ID	aliases	from_schema	is_a	mixin	see_also	title	description
> class	annotations	class_uri	aliases	ignore	is_a	mixin	see_also	title	description
>	inner_key: legacy_checklist_name								
EnvPackageClass								Environmental Package	"A supplement to MIxS Checklists, in the sense of  providing additional terms to describe the specific environement from which a sample was collected."
Agriculture	agriculture	MIXS:0016018			EnvPackageClass			agriculture	
Air	air	MIXS:0016000			EnvPackageClass			air	
BuiltEnvironment	built environment	MIXS:0016001			EnvPackageClass			built environment	
FoodAnimalAndAnimalFeed	food-animal and animal feed	MIXS:0016019			EnvPackageClass			food-animal and animal feed	
FoodFarmEnvironment	food-farm environment	MIXS:0016020			EnvPackageClass			food-farm environment	
FoodFoodProductionFacility	food-food production facility	MIXS:0016021			EnvPackageClass			food-food production facility	
FoodHumanFoods	food-human foods	MIXS:0016022			EnvPackageClass			food-human foods	
HostAssociated	host-associated	MIXS:0016002			EnvPackageClass			host-associated	
HumanAssociated	human-associated	MIXS:0016003			EnvPackageClass			human-associated	
HumanGut	human-gut	MIXS:0016004			EnvPackageClass			human-gut	
HumanOral	human-oral	MIXS:0016005			EnvPackageClass			human-oral	
HumanSkin	human-skin	MIXS:0016006			EnvPackageClass			human-skin	
HumanVaginal	human-vaginal	MIXS:0016007			EnvPackageClass			human-vaginal	
HydrocarbonResourcesCores	hydrocarbon resources-cores	MIXS:0016015			EnvPackageClass			hydrocarbon resources-cores	
HydrocarbonResourcesFluidsSwabs	hydrocarbon resources-fluids/swabs	MIXS:0016016			EnvPackageClass			hydrocarbon resources-fluids/swabs	
MicrobialMatBiofilm	microbial mat/biofilm	MIXS:0016008			EnvPackageClass			microbial mat/biofilm	
MiscellaneousNaturalOrArtificialEnvironment	miscellaneous natural or artificial environment	MIXS:0016009			EnvPackageClass			miscellaneous natural or artificial environment	
PlantAssociated	plant-associated	MIXS:0016010			EnvPackageClass			plant-associated	
Sediment	sediment	MIXS:0016011			EnvPackageClass			sediment	
Soil	soil	MIXS:0016012			EnvPackageClass			soil	
SymbiontAssociated	symbiont-associated	MIXS:0016023			EnvPackageClass			symbiont-associated	
WastewaterSludge	wastewater/sludge	MIXS:0016013			EnvPackageClass			wastewater/sludge	
Water	water	MIXS:0016014			EnvPackageClass			water	
