Environmental package	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
> class	slot	examples	annotations	annotations	cardinality	recommended	annotations
>		"internal_separator: ""|"""	inner_key: mixs_cardinality_code	inner_key: cardinality_code			inner_key: github_ticket
>							
Agriculture	adapters		M				
Agriculture	adjacent_environment	estuarine biome [ENVO:01000020]	X				#212
Agriculture	agrochem_addition		X				
Agriculture	ances_data	A/3*B	X				
Agriculture	anim_water_method	water trough [EOL:0001618]	X				
Agriculture	annot		C				
Agriculture	annual_precpt		X				#226
Agriculture	annual_temp	12.5 degree Celsius	X				#225
Agriculture	assembly_name	"HuRef, JCVI_ISG_i3_1.0"	M				
Agriculture	assembly_quality	"metaSPAdes;3.11.0;kmer set 21,33,55,77,99,121, default parameters otherwise"					
Agriculture	assembly_software	High-quality draft genome					
Agriculture	biotic_relationship		C				#168
Agriculture	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	M				
Agriculture	chimera_check		M				
Agriculture	climate_environment		C				
Agriculture	crop_rotation		C				
Agriculture	crop_yield	570 kilogram per metre square	X				
Agriculture	cult_isol_date	2/26/20	X				
Agriculture	cur_land_use		X				
Agriculture	cur_vegetation		C				
Agriculture	cur_vegetation_meth		C				
Agriculture	drainage_class		C				
Agriculture	elev	100 meter	X				
Agriculture	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	C				
Agriculture	extreme_event		C				
Agriculture	fao_class		C				
Agriculture	farm_equip	combine harvester [AGRO:00000473]	X				
Agriculture	farm_equip_san		X				
Agriculture	farm_equip_shared		X				
Agriculture	farm_water_source	water well (ENVO:01000002)	C				
Agriculture	fertilizer_admin	fish emulsion [AGRO:00000082]	X				
Agriculture	fire		C				
Agriculture	flooding		C				
Agriculture	food_harvest_proc		X				
Agriculture	food_prod	organic plant cultivation [FOODON:03530253]	X				
Agriculture	food_product_type	delicatessen salad; FOODON:03316276	X				
Agriculture	food_source	red swamp crayfish; FOODON:03412231	M				#252
