class	class_uri	description	is_a	mixins
> class	class_uri	description	is_a	mixins
>				"internal_separator: ""|"""
MigsBaAgriculture	MIXS:0010003_0016018	None with environmental package None	Agriculture	MigsBa
MigsEuAgriculture	MIXS:0010002_0016018	None with environmental package None	Agriculture	MigsEu
MigsOrgAgriculture	MIXS:0010006_0016018	None with environmental package None	Agriculture	MigsOrg
MigsPlAgriculture	MIXS:0010004_0016018	None with environmental package None	Agriculture	MigsPl
MigsViAgriculture	MIXS:0010005_0016018	None with environmental package None	Agriculture	MigsVi
MimagAgriculture	MIXS:0010011_0016018	None with environmental package None	Agriculture	Mimag
MimarksCAgriculture	MIXS:0010009_0016018	None with environmental package None	Agriculture	MimarksC
MimarksSAgriculture	MIXS:0010008_0016018	None with environmental package None	Agriculture	MimarksS
MimsAgriculture	MIXS:0010007_0016018	None with environmental package None	Agriculture	Mims
MisagAgriculture	MIXS:0010010_0016018	None with environmental package None	Agriculture	Misag
MiuvigAgriculture	MIXS:0010012_0016018	None with environmental package None	Agriculture	Miuvig
MigsBaAir	MIXS:0010003_0016000	None with environmental package None	Air	MigsBa
MigsEuAir	MIXS:0010002_0016000	None with environmental package None	Air	MigsEu
MigsOrgAir	MIXS:0010006_0016000	None with environmental package None	Air	MigsOrg
MigsPlAir	MIXS:0010004_0016000	None with environmental package None	Air	MigsPl
MigsViAir	MIXS:0010005_0016000	None with environmental package None	Air	MigsVi
MimagAir	MIXS:0010011_0016000	None with environmental package None	Air	Mimag
MimarksCAir	MIXS:0010009_0016000	None with environmental package None	Air	MimarksC
MimarksSAir	MIXS:0010008_0016000	None with environmental package None	Air	MimarksS
MimsAir	MIXS:0010007_0016000	None with environmental package None	Air	Mims
MisagAir	MIXS:0010010_0016000	None with environmental package None	Air	Misag
MiuvigAir	MIXS:0010012_0016000	None with environmental package None	Air	Miuvig
MigsBaBuiltEnvironment	MIXS:0010003_0016001	None with environmental package None	BuiltEnvironment	MigsBa
MigsEuBuiltEnvironment	MIXS:0010002_0016001	None with environmental package None	BuiltEnvironment	MigsEu
MigsOrgBuiltEnvironment	MIXS:0010006_0016001	None with environmental package None	BuiltEnvironment	MigsOrg
MigsPlBuiltEnvironment	MIXS:0010004_0016001	None with environmental package None	BuiltEnvironment	MigsPl
MigsViBuiltEnvironment	MIXS:0010005_0016001	None with environmental package None	BuiltEnvironment	MigsVi
MimagBuiltEnvironment	MIXS:0010011_0016001	None with environmental package None	BuiltEnvironment	Mimag
MimarksCBuiltEnvironment	MIXS:0010009_0016001	None with environmental package None	BuiltEnvironment	MimarksC
MimarksSBuiltEnvironment	MIXS:0010008_0016001	None with environmental package None	BuiltEnvironment	MimarksS
MimsBuiltEnvironment	MIXS:0010007_0016001	None with environmental package None	BuiltEnvironment	Mims
MisagBuiltEnvironment	MIXS:0010010_0016001	None with environmental package None	BuiltEnvironment	Misag
MiuvigBuiltEnvironment	MIXS:0010012_0016001	None with environmental package None	BuiltEnvironment	Miuvig
MigsBaFoodAnimalAndAnimalFeed	MIXS:0010003_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MigsBa
MigsEuFoodAnimalAndAnimalFeed	MIXS:0010002_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MigsEu
MigsOrgFoodAnimalAndAnimalFeed	MIXS:0010006_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MigsOrg
MigsPlFoodAnimalAndAnimalFeed	MIXS:0010004_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MigsPl
MigsViFoodAnimalAndAnimalFeed	MIXS:0010005_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MigsVi
MimagFoodAnimalAndAnimalFeed	MIXS:0010011_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	Mimag
MimarksCFoodAnimalAndAnimalFeed	MIXS:0010009_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MimarksC
MimarksSFoodAnimalAndAnimalFeed	MIXS:0010008_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	MimarksS
MimsFoodAnimalAndAnimalFeed	MIXS:0010007_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	Mims
MisagFoodAnimalAndAnimalFeed	MIXS:0010010_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	Misag
MiuvigFoodAnimalAndAnimalFeed	MIXS:0010012_0016019	None with environmental package None	FoodAnimalAndAnimalFeed	Miuvig
MigsBaFoodFarmEnvironment	MIXS:0010003_0016020	None with environmental package None	FoodFarmEnvironment	MigsBa
MigsEuFoodFarmEnvironment	MIXS:0010002_0016020	None with environmental package None	FoodFarmEnvironment	MigsEu
MigsOrgFoodFarmEnvironment	MIXS:0010006_0016020	None with environmental package None	FoodFarmEnvironment	MigsOrg
MigsPlFoodFarmEnvironment	MIXS:0010004_0016020	None with environmental package None	FoodFarmEnvironment	MigsPl
MigsViFoodFarmEnvironment	MIXS:0010005_0016020	None with environmental package None	FoodFarmEnvironment	MigsVi
MimagFoodFarmEnvironment	MIXS:0010011_0016020	None with environmental package None	FoodFarmEnvironment	Mimag
