enum	permissible_values	suspect	single	source
add_recov_method_enum	Dump Flood	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Gas Injection	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Not Applicable	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	other;{timestamp}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Polymer Addition	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Surfactant Addition	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Wag Immiscible Injection	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
add_recov_method_enum	Water Injection	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
air_flow_impede_enum	obstructed	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
air_flow_impede_enum	unobstructed; {text}; {measurement value}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
assembly_qual_enum	Finished genome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Genome fragment(s)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	High-quality draft genome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Low-quality draft genome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Medium-quality draft genome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	high	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	low;{percentage}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	med	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	combination;{text	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	coverage	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	kmer	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	ref db	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
cur_land_use_enum	badlands	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	cities	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"conifers (e.g. pine,spruce,fir,cypress)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"crop trees (nuts,fruit,christmas trees,nursery trees)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	farmstead	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	gravel	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"hardwoods (e.g. oak,hickory,elm,aspen)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	hayland	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	horticultural plants (e.g. tulips)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	industrial areas	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	intermixed hardwood and conifers	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"marshlands (grass,sedges,rushes)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"meadows (grasses,alfalfa,fescue,bromegrass,timothy)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	mines/quarries	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	mudflats	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	oil waste areas	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	pastureland (grasslands used for livestock grazing)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	permanent snow or ice	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	rainforest (evergreen forest receiving >406 cm annual rainfall)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
