enum	permissible_value	meaning	description	comments	suspect	single	in_subset
> enum	permissible_value	ignore	ignore	comments	ignore	ignore	in_subset
>				"internal_separator: ""|"""			
BinParamEnum	codon usage				FALSE	FALSE	core_tab
BinParamEnum	combination				FALSE	FALSE	core_tab
BinParamEnum	coverage				FALSE	FALSE	core_tab
BinParamEnum	homology search				FALSE	FALSE	core_tab
BinParamEnum	kmer				FALSE	FALSE	core_tab
BioticRelationshipEnum	commensalism				FALSE	FALSE	core_tab
BioticRelationshipEnum	free living				FALSE	FALSE	core_tab
BioticRelationshipEnum	mutualism				FALSE	FALSE	core_tab
BioticRelationshipEnum	parasitism				FALSE	FALSE	core_tab
BioticRelationshipEnum	symbiotic				FALSE	FALSE	core_tab
ComplApprEnum	marker gene				FALSE	FALSE	core_tab
ComplApprEnum	other				FALSE	FALSE	core_tab
ComplApprEnum	reference based				FALSE	FALSE	core_tab
ContamScreenInputEnum	contigs				FALSE	FALSE	core_tab
ContamScreenInputEnum	reads				FALSE	FALSE	core_tab
HostPredApprEnum	co-occurrence				FALSE	FALSE	core_tab
HostPredApprEnum	combination				FALSE	FALSE	core_tab
HostPredApprEnum	CRISPR spacer match				FALSE	FALSE	core_tab
HostPredApprEnum	host sequence similarity				FALSE	FALSE	core_tab
HostPredApprEnum	kmer similarity				FALSE	FALSE	core_tab
HostPredApprEnum	other				FALSE	FALSE	core_tab
HostPredApprEnum	provirus				FALSE	FALSE	core_tab
LibLayoutEnum	other				FALSE	FALSE	core_tab
LibLayoutEnum	paired				FALSE	FALSE	core_tab
LibLayoutEnum	single				FALSE	FALSE	core_tab
LibLayoutEnum	vector				FALSE	FALSE	core_tab
MagCovSoftwareEnum	bbmap				FALSE	FALSE	core_tab
MagCovSoftwareEnum	bowtie				FALSE	FALSE	core_tab
MagCovSoftwareEnum	bwa				FALSE	FALSE	core_tab
MagCovSoftwareEnum	other				FALSE	FALSE	core_tab
NegContTypeEnum	distilled water				FALSE	FALSE	core_tab
NegContTypeEnum	DNA-free PCR mix				FALSE	FALSE	core_tab
NegContTypeEnum	empty collection device				FALSE	FALSE	core_tab
NegContTypeEnum	empty collection tube				FALSE	FALSE	core_tab
NegContTypeEnum	phosphate buffer				FALSE	FALSE	core_tab
NegContTypeEnum	sterile swab				FALSE	FALSE	core_tab
NegContTypeEnum	sterile syringe				FALSE	FALSE	core_tab
PredGenomeStrucEnum	non-segmented				FALSE	FALSE	core_tab
PredGenomeStrucEnum	segmented				FALSE	FALSE	core_tab
PredGenomeStrucEnum	undetermined				FALSE	FALSE	core_tab
RelToOxygenEnum	aerobe				FALSE	FALSE	core_tab
RelToOxygenEnum	anaerobe				FALSE	FALSE	core_tab
RelToOxygenEnum	facultative				FALSE	FALSE	core_tab
RelToOxygenEnum	microaerophilic				FALSE	FALSE	core_tab
RelToOxygenEnum	microanaerobe				FALSE	FALSE	core_tab
RelToOxygenEnum	obligate aerobe				FALSE	FALSE	core_tab
RelToOxygenEnum	obligate anaerobe				FALSE	FALSE	core_tab
SeqQualityCheckEnum	manually edited				FALSE	FALSE	core_tab
SeqQualityCheckEnum	none				FALSE	FALSE	core_tab
SingleCellLysisApprEnum	chemical				FALSE	FALSE	core_tab
SingleCellLysisApprEnum	combination				FALSE	FALSE	core_tab
SingleCellLysisApprEnum	enzymatic				FALSE	FALSE	core_tab
SingleCellLysisApprEnum	physical				FALSE	FALSE	core_tab
SortTechEnum	flow cytometric cell sorting				FALSE	FALSE	core_tab
SortTechEnum	lazer-tweezing				FALSE	FALSE	core_tab
SortTechEnum	microfluidics				FALSE	FALSE	core_tab
SortTechEnum	micromanipulation				FALSE	FALSE	core_tab
SortTechEnum	optical manipulation				FALSE	FALSE	core_tab
SortTechEnum	other				FALSE	FALSE	core_tab
TaxIdentEnum	16S rRNA gene				FALSE	FALSE	core_tab
TaxIdentEnum	multi-marker approach				FALSE	FALSE	core_tab
TaxIdentEnum	other				FALSE	FALSE	core_tab
TrophicLevelEnum	autotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	carboxydotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemoautolithotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemoautotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemoheterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemolithoautotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemolithotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemoorganoheterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemoorganotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	chemosynthetic				FALSE	FALSE	core_tab
TrophicLevelEnum	chemotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	copiotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	diazotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	facultative				FALSE	FALSE	core_tab
TrophicLevelEnum	heterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	lithoautotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	lithoheterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	lithotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	methanotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	methylotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	mixotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	obligate				FALSE	FALSE	core_tab
TrophicLevelEnum	oligotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	organoheterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	organotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	photoautotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	photoheterotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	photolithoautotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	photolithotroph				FALSE	FALSE	core_tab
TrophicLevelEnum	photosynthetic				FALSE	FALSE	core_tab
TrophicLevelEnum	phototroph				FALSE	FALSE	core_tab
VirusEnrichApprEnum	centrifugation				FALSE	FALSE	core_tab
VirusEnrichApprEnum	CsCl density gradient				FALSE	FALSE	core_tab
VirusEnrichApprEnum	DNAse				FALSE	FALSE	core_tab
VirusEnrichApprEnum	FeCl Precipitation				FALSE	FALSE	core_tab
VirusEnrichApprEnum	filtration				FALSE	FALSE	core_tab
VirusEnrichApprEnum	none				FALSE	FALSE	core_tab
VirusEnrichApprEnum	other				FALSE	FALSE	core_tab
VirusEnrichApprEnum	PEG Precipitation				FALSE	FALSE	core_tab
VirusEnrichApprEnum	RNAse				FALSE	FALSE	core_tab
VirusEnrichApprEnum	targeted sequence capture				FALSE	FALSE	core_tab
VirusEnrichApprEnum	ultracentrifugation				FALSE	FALSE	core_tab
VirusEnrichApprEnum	ultrafiltration				FALSE	FALSE	core_tab
WgaAmpApprEnum	mda based				FALSE	FALSE	core_tab
WgaAmpApprEnum	pcr based				FALSE	FALSE	core_tab
FaoClassEnum	Acrisols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Andosols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Arenosols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Cambisols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Chernozems				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Ferralsols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Fluvisols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Gleysols				FALSE	FALSE	packages_tab_conflict_defer_to_soil
FaoClassEnum	Greyzems				FALSE	FALSE	packages_tab_conflict_defer_to_soil
