enum	permissible_values	suspect	single	source
> slot_enum	annotations	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
>_enum	inner_key: value_syntax	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Finished genome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Genome fragment(s)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	High-quality draft genome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Low-quality draft genome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_qual_enum	Medium-quality draft genome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_param_enum	codon usage	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_param_enum	combination	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_param_enum	coverage	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_param_enum	homology search	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_param_enum	kmer	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
biotic_relationship_enum	commensalism	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
biotic_relationship_enum	free living	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
biotic_relationship_enum	mutualism	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
biotic_relationship_enum	parasitism	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
biotic_relationship_enum	symbiotic	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
reassembly_bin_enum	{boolean}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
x_16s_recover_enum	{boolean}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_appr_enum	marker gene	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_appr_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_appr_enum	reference based	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_input_enum	contigs	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_input_enum	reads	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	acdc	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	anvi'o	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	bbtools:decontaminate.sh	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	checkm/refinem	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	combination	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	prodege	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
detec_type_enum	independent sequence (UViG)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
detec_type_enum	provirus (UpViG)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	CRISPR spacer match	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	co-occurrence	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	combination	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	host sequence similarity	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	kmer similarity	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_pred_appr_enum	provirus	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
extrachrom_elements_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_spec_range_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_reads_seqd_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_size_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
num_replicons_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
number_contig_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trnas_enum	{integer}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_layout_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_layout_enum	paired	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_layout_enum	single	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lib_layout_enum	vector	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
mag_cov_software_enum	bbmap	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
mag_cov_software_enum	bowtie	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
mag_cov_software_enum	bwa	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
