class	class_uri	description	is_a	mixins
> class	class_uri	description	is_a	mixins
>				"internal_separator: ""|"""
AgricultureMigsBa		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package agriculture	Agriculture	MigsBa
AgricultureMigsEu		Minimal Information about a Genome Sequence: eukaryote with environmental package agriculture	Agriculture	MigsEu
AgricultureMigsOrg		Minimal Information about a Genome Sequence: org with environmental package agriculture	Agriculture	MigsOrg
AgricultureMigsPl		Minimal Information about a Genome Sequence: plant with environmental package agriculture	Agriculture	MigsPl
AgricultureMigsVi		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package agriculture	Agriculture	MigsVi
AgricultureMimag		Minimum Information About a Metagenome-Assembled Genome with environmental package agriculture	Agriculture	Mimag
AgricultureMimarksC		Minimal Information about a Marker Specimen: specimen with environmental package agriculture	Agriculture	MimarksC
AgricultureMimarksS		Minimal Information about a Marker Specimen: survey with environmental package agriculture	Agriculture	MimarksS
AgricultureMims		Metagenome or Environmental with environmental package agriculture	Agriculture	Mims
AgricultureMisag		Minimum Information About a Single Amplified Genome with environmental package agriculture	Agriculture	Misag
AgricultureMiuvig		Minimum Information About an Uncultivated Virus Genome with environmental package agriculture	Agriculture	Miuvig
AirMigsBa		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package air	Air	MigsBa
AirMigsEu		Minimal Information about a Genome Sequence: eukaryote with environmental package air	Air	MigsEu
AirMigsOrg		Minimal Information about a Genome Sequence: org with environmental package air	Air	MigsOrg
AirMigsPl		Minimal Information about a Genome Sequence: plant with environmental package air	Air	MigsPl
AirMigsVi		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package air	Air	MigsVi
AirMimag		Minimum Information About a Metagenome-Assembled Genome with environmental package air	Air	Mimag
AirMimarksC		Minimal Information about a Marker Specimen: specimen with environmental package air	Air	MimarksC
AirMimarksS		Minimal Information about a Marker Specimen: survey with environmental package air	Air	MimarksS
AirMims		Metagenome or Environmental with environmental package air	Air	Mims
AirMisag		Minimum Information About a Single Amplified Genome with environmental package air	Air	Misag
AirMiuvig		Minimum Information About an Uncultivated Virus Genome with environmental package air	Air	Miuvig
BuiltEnvironmentMigsBa		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package built environment	BuiltEnvironment	MigsBa
BuiltEnvironmentMigsEu		Minimal Information about a Genome Sequence: eukaryote with environmental package built environment	BuiltEnvironment	MigsEu
BuiltEnvironmentMigsOrg		Minimal Information about a Genome Sequence: org with environmental package built environment	BuiltEnvironment	MigsOrg
BuiltEnvironmentMigsPl		Minimal Information about a Genome Sequence: plant with environmental package built environment	BuiltEnvironment	MigsPl
BuiltEnvironmentMigsVi		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package built environment	BuiltEnvironment	MigsVi
BuiltEnvironmentMimag		Minimum Information About a Metagenome-Assembled Genome with environmental package built environment	BuiltEnvironment	Mimag
BuiltEnvironmentMimarksC		Minimal Information about a Marker Specimen: specimen with environmental package built environment	BuiltEnvironment	MimarksC
BuiltEnvironmentMimarksS		Minimal Information about a Marker Specimen: survey with environmental package built environment	BuiltEnvironment	MimarksS
BuiltEnvironmentMims		Metagenome or Environmental with environmental package built environment	BuiltEnvironment	Mims
BuiltEnvironmentMisag		Minimum Information About a Single Amplified Genome with environmental package built environment	BuiltEnvironment	Misag
BuiltEnvironmentMiuvig		Minimum Information About an Uncultivated Virus Genome with environmental package built environment	BuiltEnvironment	Miuvig
FoodAnimalAndAnimalFeedMigsBa		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MigsBa
FoodAnimalAndAnimalFeedMigsEu		Minimal Information about a Genome Sequence: eukaryote with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MigsEu
FoodAnimalAndAnimalFeedMigsOrg		Minimal Information about a Genome Sequence: org with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MigsOrg
FoodAnimalAndAnimalFeedMigsPl		Minimal Information about a Genome Sequence: plant with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MigsPl
FoodAnimalAndAnimalFeedMigsVi		Minimal Information about a Genome Sequence: cultured bacteria/archaea with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MigsVi
FoodAnimalAndAnimalFeedMimag		Minimum Information About a Metagenome-Assembled Genome with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	Mimag
FoodAnimalAndAnimalFeedMimarksC		Minimal Information about a Marker Specimen: specimen with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MimarksC
FoodAnimalAndAnimalFeedMimarksS		Minimal Information about a Marker Specimen: survey with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	MimarksS
FoodAnimalAndAnimalFeedMims		Metagenome or Environmental with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	Mims
FoodAnimalAndAnimalFeedMisag		Minimum Information About a Single Amplified Genome with environmental package food-animal and animal feed	FoodAnimalAndAnimalFeed	Misag
