term	title	desc	applies_to_class: MigsEu	applies_to_class: MigsBa	applies_to_class: MigsPl	applies_to_class: MigsVi	applies_to_class: MigsOrg
> slot	title	description	cardinality	cardinality	cardinality	cardinality	cardinality
>			applies_to_class: MigsEu	applies_to_class: MigsBa	applies_to_class: MigsPl	applies_to_class: MigsVi	applies_to_class: MigsOrg
bin_param	binning parameters	The parameters that have been applied during the extraction of genomes from metagenomic datasets	M	M	M	M	M
bin_software	binning software	"Tool(s) used for the extraction of genomes from metagenomic datasets, where possible include a product ID (PID) of the tool(s) used."	O	O	O	O	O
biotic_relationship	observed biotic relationship	"Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object"	M	R	-	-	-
chimera_check	chimera check software	"Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences."	M	O	-	-	-
compl_appr	completeness approach	"The approach used to determine the completeness of a given genomic assembly, which would typically make use of a set of conserved marker genes or a closely related reference genome. For UViG completeness, include reference genome or group used, and contig feature suggesting a complete genome"	M	R	-	-	-
compl_score	completeness score	"Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores"	-	-	R	R	R
compl_software	completeness software	"Tools used for completion estimate, i.e. checkm, anvi'o, busco"			R	R	R
contam_score	contamination score	"The contamination score is based on the fraction of single-copy genes that are observed more than once in a query genome. The following scores are acceptable for; High Quality Draft: < 5%, Medium Quality Draft: < 10%, Low Quality Draft: < 10%. Contamination must be below 5% for a SAG or MAG to be deposited into any of the public databases"			R	R	R
contam_screen_input	contamination screening input	The type of sequence data used as input					
contam_screen_param	contamination screening parameters	"Specific parameters used in the decontamination sofware, such as reference database, coverage, and kmers. Combinations of these parameters may also be used, i.e. kmer and coverage, or reference database and kmer"					
decontam_software	decontamination software	Tool(s) used in contamination screening					M
detec_type	detection type	Type of UViG detection	M	M	M	M	M
encoded_traits	encoded traits	"Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage"	O	O	O	O	O
estimated_size	estimated size	The estimated size of the genome prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period.	M	R	-	-	-
extrachrom_elements	extrachromosomal elements	Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids)	M	O	-	-	-
host_disease_stat	host disease status	"List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text"	M	R	-	-	-
host_pred_appr	host prediction approach	Tool or approach used for host prediction	-	-	R	R	R
host_pred_est_acc	host prediction estimated accuracy	"For each tool or approach used for host prediction, estimated false discovery rates should be included, either computed de novo or from the literature"			R	R	R
