Environmental package	Structured comment name	Example	Requirement	Preferred unit	github ticket
> class	slot	examples	ignore	annotations	annotations
>		"internal_separator: ""|"""		inner_key: preferred_unit	inner_key: github_ticket
Agriculture	samp_size		M	"millliter, gram, milligram"	
Agriculture	samp_collect_device	"biopsy, niskin bottle, push core"	M		
Agriculture	isol_growth_condt		X		
Agriculture	samp_mat_process	"filtering of seawater, storing samples in ethanol"	M		
Agriculture	soil_depth	5 cm	C	cm	
Agriculture	source_mat_id		X		
Agriculture	pathogenicity	"human, animal, plant, fungi, bacteria"	M		
Agriculture	biotic_relationship		C		#168
Agriculture	specific_host	Homo sapiens and/or 9606	M		
Agriculture	host_spec_range		M		
Agriculture	host_disease_stat	downy mildew	C		
Agriculture	trophic_level		C		
Agriculture	nucl_acid_ext		M		
Agriculture	nucl_acid_amp		M		
Agriculture	lib_size		X		
Agriculture	lib_reads_seqd		M		
Agriculture	lib_layout	paired	C		#231
Agriculture	lib_vector		M		
Agriculture	lib_screen	"enriched, screened, normalized"	M		
Agriculture	target_gene	"16S rRNA, 18S rRNA, nif, amoA, rpo"	M		
Agriculture	target_subfragment	"V6, V9, ITS"	M		
Agriculture	pcr_primers	FWD: forward primer sequence REV:reverse primer sequence	M		
Agriculture	mid		M		
Agriculture	adapters		M		
Agriculture	pcr_cond		M		
Agriculture	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M		
Agriculture	seq_quality_check		X		
Agriculture	chimera_check		M		
Agriculture	assembly_software	High-quality draft genome			
Agriculture	assembly_name	"HuRef, JCVI_ISG_i3_1.0"	M		
Agriculture	assembly_quality	"metaSPAdes;3.11.0;kmer set 21,33,55,77,99,121, default parameters otherwise"			
Agriculture	annot		C		
Agriculture	sop		X		
Agriculture	url		C		
Agriculture	elev	100 meter	X		
Agriculture	humidity	30% relative humidity	C	percentage	
Agriculture	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	C	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	
Agriculture	samp_stor_temp	-80 degree Celsius	X	degree Celsius	
Agriculture	samp_vol_we_dna_ext		M	"millliter, gram, milligram"	
Agriculture	solar_irradiance	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	#209
Agriculture	temp		M	degree Celsius	
Agriculture	samp_store_dur		M		
Agriculture	porosity		X	percentage	
Agriculture	ances_data	A/3*B	X		
Agriculture	host_common_name		M		
Agriculture	host_taxid	9606	M		
Agriculture	host_life_stage		M		
Agriculture	host_age		M	"year, day, hour"	
Agriculture	host_length		M	"centimeter, millimeter, meter"	
Agriculture	host_dry_mass	500 gram	X	"kilogram, gram"	
Agriculture	host_tot_mass		M	"kilogram, gram"	
Agriculture	host_height		M	"centimeter, millimeter, meter"	
Agriculture	cur_vegetation		C		
Agriculture	cur_vegetation_meth		C		
Agriculture	previous_land_use		C		
Agriculture	previous_land_use_meth		C		
Agriculture	crop_rotation		C		
Agriculture	flooding		C		
Agriculture	extreme_event		C		
Agriculture	horizon_meth		C		
Agriculture	sieving		M		
Agriculture	pool_dna_extracts		M	"gram, milliliter, microliter"	
Agriculture	store_cond		M		
Agriculture	link_climate_info		X		
Agriculture	link_class_info		X		
Agriculture	local_class		C		
Agriculture	local_class_meth		C		
Agriculture	soil_type		M		
Agriculture	soil_type_meth		M		
Agriculture	texture		X		
Agriculture	texture_meth		X		
