Environmental_package	class_uri	title	aliases	description	from_schema	is_a	mixin	mixins	see_also
> class	class_uri	title	aliases	description	ignore	is_a	mixin	mixins	see_also
Agriculture	MIXS:0016018	agriculture	agriculture	agriculture	http://w3id.org/mixs/agriculture	EnvPackage
Air	MIXS:0016000	air	air	air	http://w3id.org/mixs/air	EnvPackage
BuiltEnvironment	MIXS:0016001	built environment	built_environment	built environment	http://w3id.org/mixs/built_environment	EnvPackage
FoodAnimalAndAnimalFeed	MIXS:0016019	food-animal and animal feed	food_animal_and_animal_feed	food-animal and animal feed	http://w3id.org/mixs/food_animal_and_animal_feed	EnvPackage
FoodFarmEnvironment	MIXS:0016020	food-farm environment	food_farm_environment	food-farm environment	http://w3id.org/mixs/food_farm_environment	EnvPackage
FoodFoodProductionFacility	MIXS:0016021	food-food production facility	food_food_production_facility	food-food production facility	http://w3id.org/mixs/food_food_production_facility	EnvPackage
FoodHumanFoods	MIXS:0016022	food-human foods	food_human_foods	food-human foods	http://w3id.org/mixs/food_human_foods	EnvPackage
HostAssociated	MIXS:0016002	host-associated	host_associated	host-associated	http://w3id.org/mixs/host_associated	EnvPackage
HumanAssociated	MIXS:0016003	human-associated	human_associated	human-associated	http://w3id.org/mixs/human_associated	EnvPackage
HumanGut	MIXS:0016004	human-gut	human_gut	human-gut	http://w3id.org/mixs/human_gut	EnvPackage
HumanOral	MIXS:0016005	human-oral	human_oral	human-oral	http://w3id.org/mixs/human_oral	EnvPackage
HumanSkin	MIXS:0016006	human-skin	human_skin	human-skin	http://w3id.org/mixs/human_skin	EnvPackage
HumanVaginal	MIXS:0016007	human-vaginal	human_vaginal	human-vaginal	http://w3id.org/mixs/human_vaginal	EnvPackage
HydrocarbonResourcesCores	MIXS:0016015	hydrocarbon resources-cores	hydrocarbon_resources_cores	hydrocarbon resources-cores	http://w3id.org/mixs/hydrocarbon_resources_cores	EnvPackage
HydrocarbonResourcesFluidsSwabs	MIXS:0016016	hydrocarbon resources-fluids_swabs	hydrocarbon_resources_fluids_swabs	hydrocarbon resources-fluids/swabs	http://w3id.org/mixs/hydrocarbon_resources_fluids_swabs	EnvPackage
MicrobialMatBiofilm	MIXS:0016008	microbial mat_biofilm	microbial_mat_biofilm	microbial mat/biofilm	http://w3id.org/mixs/microbial_mat_biofilm	EnvPackage
MiscellaneousNaturalOrArtificialEnvironment	MIXS:0016009	miscellaneous natural or artificial environment	miscellaneous_natural_or_artificial_environment	miscellaneous natural or artificial environment	http://w3id.org/mixs/miscellaneous_natural_or_artificial_environment	EnvPackage
PlantAssociated	MIXS:0016010	plant-associated	plant_associated	plant-associated	http://w3id.org/mixs/plant_associated	EnvPackage
Sediment	MIXS:0016011	sediment	sediment	sediment	http://w3id.org/mixs/sediment	EnvPackage
Soil	MIXS:0016012	soil	soil	soil	http://w3id.org/mixs/soil	EnvPackage
SymbiontAssociated	MIXS:0016023	symbiont-associated	symbiont_associated	symbiont-associated	http://w3id.org/mixs/symbiont_associated	EnvPackage
WastewaterSludge	MIXS:0016013	wastewater_sludge	wastewater_sludge	wastewater/sludge	http://w3id.org/mixs/wastewater_sludge	EnvPackage
Water	MIXS:0016014	water	water	water	http://w3id.org/mixs/water	EnvPackage
EnvPackage		environmental package	env_package						
