checklist	MIXS ID	aliases	from_schema	is_a	mixin	see_also	title	description
> class	class_uri	aliases	ignore	is_a	mixin	see_also	title	description
migs_ba	MIXS:0010003			ChecklistClass	TRUE			
migs_eu	MIXS:0010002			ChecklistClass	TRUE			
migs_org	MIXS:0010006			ChecklistClass	TRUE			
migs_pl	MIXS:0010004			ChecklistClass	TRUE			
migs_vi	MIXS:0010005			ChecklistClass	TRUE			
mimag	MIXS:0010011			ChecklistClass	TRUE			
mimarks_c	MIXS:0010009			ChecklistClass	TRUE			
mimarks_s	MIXS:0010008			ChecklistClass	TRUE			
mims	MIXS:0010007			ChecklistClass	TRUE			
misag	MIXS:0010010			ChecklistClass	TRUE			
miuvig	MIXS:0010012			ChecklistClass	TRUE			
ChecklistClass							MIxS Checklist	"A class with slots assigned for the required, recommended, and optional metadata fields for a specific type sequence, such as genomes, metagenomes, or marker genes. The migs class, which models genomic sequences, is subdivided into checklists for specific taxa: eukaryotes, bacteria, viruses, and plants."
