Structured comment name	checklist	Requirement	Cardinality	cardinality	recommended
> slot	class	annotations	annotations	cardinality	recommended
>		inner_key: mixs_requirement_code	inner_key: cardinality_code		
16s_recover	migs_ba	-	-	-	
16s_recover_software	migs_ba	-	-	-	
bin_param	migs_ba	-	-	-	
bin_software	migs_ba	-	-	-	
chimera_check	migs_ba	-	-	-	
compl_appr	migs_ba	-	-	-	
contam_score	migs_ba	-	-	-	
contam_screen_input	migs_ba	-	-	-	
contam_screen_param	migs_ba	-	-	-	
decontam_software	migs_ba	-	-	-	
detec_type	migs_ba	-	-	-	
host_pred_appr	migs_ba	-	-	-	
host_pred_est_acc	migs_ba	-	-	-	
mag_cov_software	migs_ba	-	-	-	
mid	migs_ba	-	-	-	
otu_class_appr	migs_ba	-	-	-	
otu_db	migs_ba	-	-	-	
otu_seq_comp_appr	migs_ba	-	-	-	
pcr_cond	migs_ba	-	-	-	
pcr_primers	migs_ba	-	-	-	
ploidy	migs_ba	-	-	-	
pred_genome_struc	migs_ba	-	-	-	
pred_genome_type	migs_ba	-	-	-	
propagation	migs_ba	-	-	-	
reassembly_bin	migs_ba	-	-	-	
seq_quality_check	migs_ba	-	-	-	
single_cell_lysis_appr	migs_ba	-	-	-	
single_cell_lysis_prot	migs_ba	-	-	-	
size_frac	migs_ba	-	-	-	
sort_tech	migs_ba	-	-	-	
source_uvig	migs_ba	-	-	-	
target_gene	migs_ba	-	-	-	
target_subfragment	migs_ba	-	-	-	
trna_ext_software	migs_ba	-	-	-	
trnas	migs_ba	-	-	-	
vir_ident_software	migs_ba	-	-	-	
virus_enrich_appr	migs_ba	-	-	-	
wga_amp_appr	migs_ba	-	-	-	
wga_amp_kit	migs_ba	-	-	-	
16s_recover	migs_eu	-	-	-	
16s_recover_software	migs_eu	-	-	-	
bin_param	migs_eu	-	-	-	
bin_software	migs_eu	-	-	-	
chimera_check	migs_eu	-	-	-	
compl_appr	migs_eu	-	-	-	
contam_score	migs_eu	-	-	-	
contam_screen_input	migs_eu	-	-	-	
contam_screen_param	migs_eu	-	-	-	
decontam_software	migs_eu	-	-	-	
detec_type	migs_eu	-	-	-	
encoded_traits	migs_eu	-	-	-	
host_pred_appr	migs_eu	-	-	-	
host_pred_est_acc	migs_eu	-	-	-	
mag_cov_software	migs_eu	-	-	-	
mid	migs_eu	-	-	-	
otu_class_appr	migs_eu	-	-	-	
otu_db	migs_eu	-	-	-	
otu_seq_comp_appr	migs_eu	-	-	-	
pcr_cond	migs_eu	-	-	-	
pcr_primers	migs_eu	-	-	-	
pred_genome_struc	migs_eu	-	-	-	
pred_genome_type	migs_eu	-	-	-	
reassembly_bin	migs_eu	-	-	-	
rel_to_oxygen	migs_eu	-	-	-	
seq_quality_check	migs_eu	-	-	-	
single_cell_lysis_appr	migs_eu	-	-	-	
single_cell_lysis_prot	migs_eu	-	-	-	
size_frac	migs_eu	-	-	-	
sort_tech	migs_eu	-	-	-	
source_uvig	migs_eu	-	-	-	
target_gene	migs_eu	-	-	-	
target_subfragment	migs_eu	-	-	-	
trna_ext_software	migs_eu	-	-	-	
trnas	migs_eu	-	-	-	
vir_ident_software	migs_eu	-	-	-	
virus_enrich_appr	migs_eu	-	-	-	
wga_amp_appr	migs_eu	-	-	-	
wga_amp_kit	migs_eu	-	-	-	
16s_recover	migs_org	-	-	-	
16s_recover_software	migs_org	-	-	-	
bin_param	migs_org	-	-	-	
bin_software	migs_org	-	-	-	
biotic_relationship	migs_org	-	-	-	
