Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
> class	slot	title	description	annotations	annotations	examples	annotations	annotations	multivalued	slot_uri	annotations
>				inner_key: expected_value	inner_key: value_syntax	"internal_separator: ""|"""	inner_key: mixs_cardinality_code	inner_key: preferred_unit	"vmap: {1: false, ""m"": true}"		inner_key: github_ticket
>											
agriculture	samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."	measurement value	{float} {unit}		M	"millliter, gram, milligram"	1	MIXS:0000001	
food-animal and animal feed	samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."	measurement value	{float} {unit}	5 liters	X	"liter, gram, cm^2"	1	MIXS:0000001	
food-farm environment	samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."	measurement value	{float} {unit}	5 liters	X	"liter, gram, cm^2"	1	MIXS:0000001	
food-food production facility	samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."	measurement value	{float} {unit}	5 liters	X	"liter, gram, cm^2"	1	MIXS:0000001	
food-human foods	samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."	measurement value	{float} {unit}	5 liters	X	"liter, gram, cm^2"	1	MIXS:0000001	
agriculture	samp_collect_device	sample collection device or method	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	type name	{text}	"biopsy, niskin bottle, push core"	M		1	MIXS:0000002	
food-animal and animal feed	samp_collect_device	sample collection device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	device name	{termLabel} {[termID]}|{text}	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		1	MIXS:0000002	
food-farm environment	samp_collect_device	sample collection device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	device name	{termLabel} {[termID]}|{text}	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		1	MIXS:0000002	
food-food production facility	samp_collect_device	sample collection device	The device employed for collecting the sample.	type name	{text}	"biopsy, niskin bottle, push core"	X		1	MIXS:0000002	
food-human foods	samp_collect_device	sample collection device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	device name	{termLabel} {[termID]}|{text}	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		1	MIXS:0000002	
agriculture	isol_growth_condt	isolation and growth condition	"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material"	"PMID,DOI or URL"	{PMID|DOI|URL}		X		1	MIXS:0000003	
food-animal and animal feed	experimental_factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI."	text or EFO and/or OBI	{termLabel} {[termID]}|{text}	time series design [EFO:0001779]	X		m	MIXS:0000008	
food-food production facility	experimental_factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI."	text or EFO and/or OBI	{termLabel} {[termID]}|{text}	time series design [EFO:EFO_0001779]	X		m	MIXS:0000008	
food-human foods	experimental_factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI."	text or EFO and/or OBI	{termLabel} {[termID]}|{text}	time series design [EFO:0001779]	X		m	MIXS:0000008	
