Structured comment name	Package item	MIXS ID	aliases	notes
> slot	ignore	slot_uri	aliases	notes
>			"internal_separator: ""|"""	
samp_size	amount or size of sample collected	MIXS:0000001		
samp_collect_device	sample collection device	MIXS:0000002	sample collection device or method	
isol_growth_condt	isolation and growth condition	MIXS:0000003		
experimental_factor	experimental factor	MIXS:0000008		
lat_lon	geographic location (latitude and longitude)	MIXS:0000009		
geo_loc_name	"geographic location (country and/or sea,region)"	MIXS:0000010		
collection_date	collection date	MIXS:0000011		
env_broad_scale	broad-scale environmental context	MIXS:0000012		
env_local_scale	local environmental context	MIXS:0000013		
env_medium	environmental medium	MIXS:0000014		
samp_mat_process	sample material processing	MIXS:0000016		
depth	depth	MIXS:0000018	soil_depth|soil depth	
subspecf_gen_lin	subspecific genetic lineage	MIXS:0000020		
source_mat_id	source material identifiers	MIXS:0000026		
pathogenicity	known pathogenicity	MIXS:0000027		
biotic_relationship	observed biotic relationship	MIXS:0000028		
specific_host	host scientific name	MIXS:0000029		
host_spec_range	host specificity or range	MIXS:0000030		
host_disease_stat	host disease status	MIXS:0000031		
trophic_level	trophic level	MIXS:0000032		
nucl_acid_ext	nucleic acid extraction	MIXS:0000037		
nucl_acid_amp	nucleic acid amplification	MIXS:0000038		
lib_size	library size	MIXS:0000039		
lib_reads_seqd	library reads sequenced	MIXS:0000040		
lib_layout	library layout	MIXS:0000041		
lib_vector	library vector	MIXS:0000042		
lib_screen	library screening strategy	MIXS:0000043		
target_gene	target gene	MIXS:0000044		
target_subfragment	target subfragment	MIXS:0000045		
pcr_primers	pcr primers	MIXS:0000046		
mid	multiplex identifiers	MIXS:0000047		
adapters	adapters	MIXS:0000048		
pcr_cond	pcr conditions	MIXS:0000049		
seq_meth	sequencing method	MIXS:0000050		
seq_quality_check	sequence quality check	MIXS:0000051		
chimera_check	chimera check	MIXS:0000052		
assembly_name	assembly name	MIXS:0000057		
assembly_quality	assembly quality	MIXS:0000058		
annot	annotation	MIXS:0000059		
sop	relevant standard operating procedures	MIXS:0000090		
url	relevant electronic resources	MIXS:0000091		
project_name	project name	MIXS:0000092		
elev	elevation	MIXS:0000093		
alt	altitude	MIXS:0000094		
barometric_press	barometric pressure	MIXS:0000096		
carb_dioxide	carbon dioxide	MIXS:0000097		
carb_monoxide	carbon monoxide	MIXS:0000098		
org_count_qpcr_info	organism count qPCR information	MIXS:0000099		
humidity	humidity	MIXS:0000100		
methane	methane	MIXS:0000101		
tot_nitro	total nitrogen concentration	MIXS:0000102		
organism_count	organism count	MIXS:0000103	spikein_count|spike-in organism count	
oxygen	oxygen	MIXS:0000104		
tot_iron	total iron	MIXS:0000105		
diss_inorg_phosp	dissolved inorganic phosphorus	MIXS:0000106		
pollutants	pollutants	MIXS:0000107		
air_PM_concen	air particulate matter concentration	MIXS:0000108	air particulate matter concentration|air_PM_concen	
samp_salinity	sample salinity	MIXS:0000109		
samp_store_temp	sample storage temperature	MIXS:0000110	samp_stor_temp	
samp_vol_we_dna_ext	sample volume or weight for DNA extraction	MIXS:0000111		
solar_irradiance	solar irradiance	MIXS:0000112	mean seasonal solar irradiance	
temp	temperature	MIXS:0000113		
