Environmental package	Structured comment name	Example	Requirement	Requirement_repaired	Preferred unit	MIXS ID	github ticket
> class	slot	examples	ignore	cardinality	annotations	slot_uri	annotations
>		"internal_separator: ""|"""			inner_key: preferred_unit		inner_key: gh_ticket
Soil	depth	10 meter	M	M	meter	MIXS:0000018	
Soil	elev	100 meter	M	M	meter	MIXS:0000093	
Soil	project_name	Forest soil metagenome	M	M		MIXS:0000092	
Soil	samp_name	ISDsoil1	M	M		MIXS:0001107	
Soil	slope_aspect		X		degree	MIXS:0000647	
Soil	annual_temp	12.5 degree Celsius	X		degree Celsius	MIXS:0000642	
Soil	season_temp	18 degree Celsius	X		degree Celsius	MIXS:0000643	
Soil	temp	25 degree Celsius	X		degree Celsius	MIXS:0000113	
Soil	tot_org_carb		X		gram Carbon per kilogram sample material	MIXS:0000533	
Soil	water_content		X		gram per gram or cubic centimeter per cubic centimeter	MIXS:0000185	
Soil	agrochem_addition	roundup;5 milligram per liter;2018-06-21	X		"gram, mole per liter, milligram per liter"	MIXS:0000639	
Soil	heavy_metals	mercury;0.09 micrograms per gram	X		microgram per gram	MIXS:0000652	
Soil	org_matter	1.75 milligram per cubic meter	X		microgram per liter	MIXS:0000204	
Soil	org_nitro	4 micromole per liter	X		microgram per liter	MIXS:0000205	
Soil	tot_nitro_content		X		"microgram per liter, micromole per liter, milligram per liter"	MIXS:0000530	
Soil	annual_precpt		X		millimeter	MIXS:0000644	
Soil	season_precpt		X		millimeter	MIXS:0000645	
Soil	samp_vol_we_dna_ext	1500 milliliter	X		"millliter, gram, milligram, square centimeter"	MIXS:0000111	
Soil	al_sat		X		percentage	MIXS:0000607	
Soil	slope_gradient		X		percentage	MIXS:0000646	
Soil	microbial_biomass		X		"ton, kilogram, gram per kilogram soil"	MIXS:0000650	
Soil	ph	7.2	X			MIXS:0001001	
Soil	store_cond	-20 degree Celsius freezer;P2Y10D	X			MIXS:0000327	
Soil	soil_horizon	A horizon	X			MIXS:0001082	
Soil	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X			MIXS:0000752	
Soil	tillage	chisel	X			MIXS:0001081	
Soil	cur_land_use	conifers	X			MIXS:0001080	
Soil	fao_class	Luvisols	X			MIXS:0001083	
Soil	soil_type	plinthosol [ENVO:00002250]	X			MIXS:0000332	
Soil	profile_position	summit	X			MIXS:0001084	
Soil	drainage_class	well	X			MIXS:0001085	
Soil	pool_dna_extracts	yes;5	X			MIXS:0000325	
Soil	crop_rotation	yes;R2/2017-01-01/2018-12-31/P6M	X			MIXS:0000318	
