geo_loc_name,raw_lat_lon,lat,lon,nation,state
-,-,,,,
?,?,,,,
Algeria,36.7507611 N 5.0355072 E,36.7507611,5.0355072,Algeria,
Algeria,35.5130278 N 6.2588367 E,35.5130278,6.2588367,Algeria,
Algeria,35.390413 N 0.149499 E,35.390413,0.149499,Algeria,
Algeria,35.5721694 N 6.1946206 E,35.5721694,6.1946206,Algeria,
Algeria,35.38 N 0.37 W,35.38,-0.37,Algeria,
Algeria: Adoar oasis,missing,,,,
Algeria: Baraki-Alger,36.6673 N 3.0986 E,36.6673,3.0986,Algeria,
Algeria: Beni Abbes,28.0339 N 1.6596 E,28.0339,1.6596,Algeria,
Algeria: El Oued Souf,28.0339 N 1.6596 E,28.0339,1.6596,Algeria,
"Algeria: Timoudi, Beni Abbes, Taghit",30.14 N 2.17 W,30.14,-2.17,Algeria,
"Algeria:Bechar Province,Kenadsa",31.5462611 N 2.41629444 W,31.5462611,-2.41629444,Algeria,
"Algeria:Ben Badis, Constantine",36.31 N 6.83 E,36.31,6.83,Algeria,
Algeria:Constantine,36.36 N 6.6 E,36.36,6.6,Algeria,
Antarctica,71.878267 S 68.249798 W,-71.878267,-68.249798,Antarctica,
Antarctica,69 S 39 E,-69.0,39.0,,
Antarctica,69.41985 S 76.22497 E,-69.41985,76.22497,Antarctica,
Antarctica,66 S 50 E,-66.0,50.0,,
Antarctica,69 S 38 E,-69.0,38.0,,
Antarctica,77.61039 S 163.26512 E,-77.61039,163.26512,Antarctica,
Antarctica,72.3166654 S 170.2666656 E,-72.3166654,170.2666656,Antarctica,
Antarctica,74.76804444 S 164.0160222 E,-74.76804444,164.0160222,,
Antarctica,66.20 S 110.32 E,-66.2,110.32,,
Antarctica,69 S 37 E,-69.0,37.0,,
Antarctica,missing,,,,
Antarctica,77.36 S 163.15 E,-77.36,163.15,Antarctica,
Antarctica,78.1 S 163.51 E,-78.1,163.51,Antarctica,
Antarctica,77.48 S 160.41 E,-77.48,160.41,Antarctica,
Antarctica,78.2 S 163.51 E,-78.2,163.51,Antarctica,
Antarctica,78.6 S 163.48 E,-78.6,163.48,Antarctica,
Antarctica,78.7 S 163.45 E,-78.7,163.45,Antarctica,
Antarctica,77.47 S 160.36 E,-77.47,160.36,Antarctica,
Antarctica,77.2 S 161.41 E,-77.2,161.41,Antarctica,
Antarctica,77.2 S 161.42 E,-77.2,161.42,Antarctica,
Antarctica,77.26 S 162.43 E,-77.26,162.43,Antarctica,
Antarctica,77.1 S 161.44 E,-77.1,161.44,Antarctica,
Antarctica,77.29 S 160.52 E,-77.29,160.52,Antarctica,
Antarctica,77.3 S 160.34 E,-77.3,160.34,Antarctica,
Antarctica,76.55 S 161.4 E,-76.55,161.4,Antarctica,
Antarctica,76.53 S 161.8 E,-76.53,161.8,Antarctica,
Antarctica,77.32 S 161.14 E,-77.32,161.14,Antarctica,
Antarctica,77.33 S 160.57 E,-77.33,160.57,Antarctica,
Antarctica,not collected,,,,
Antarctica,77.34 S 163.9 E,-77.34,163.9,,
Antarctica,62.6680556 S 60.35972222 W,-62.6680556,-60.35972222,Antarctica,
Antarctica,62.4666667 S 59.75666666 W,-62.4666667,-59.75666666,Antarctica,
